Image File,Prediction (grid_based),Prediction (object_detection),Prediction (lime_on_images),Prediction (lime_on_latent),Prediction (lime_on_latent_nun)
town7_000116.png,GO,GO,STOP,STOP,GO
town7_000141.png,STOP,GO,GO,STOP,STOP
town7_000144.png,STOP,STOP,STOP,GO,GO
town7_000913.png,GO,STOP,STOP,GO,STOP
town7_001228.png,STOP,STOP,STOP,STOP,GO
town7_001462.png,STOP,STOP,STOP,STOP,GO
town7_001612.png,STOP,STOP,STOP,GO,STOP
town7_001832.png,GO,STOP,STOP,STOP,STOP
town7_002389.png,GO,GO,STOP,GO,GO
town7_002511.png,STOP,GO,GO,GO,GO
town7_002512.png,GO,GO,GO,STOP,GO
town7_002747.png,STOP,STOP,GO,GO,GO
town7_002818.png,STOP,GO,GO,STOP,GO
town7_003094.png,STOP,GO,STOP,GO,STOP
town7_003459.png,GO,GO,STOP,GO,GO
town7_003713.png,GO,GO,STOP,GO,GO
town7_003930.png,GO,GO,GO,STOP,GO
town7_003931.png,STOP,STOP,STOP,GO,STOP
town7_004006.png,STOP,STOP,GO,GO,GO
town7_004010.png,GO,GO,STOP,GO,GO
town7_004029.png,STOP,GO,GO,GO,GO
town7_004105.png,GO,GO,GO,STOP,GO
town7_004124.png,STOP,STOP,GO,GO,STOP
town7_004168.png,STOP,STOP,GO,GO,STOP
town7_004173.png,STOP,GO,STOP,GO,GO
town7_004517.png,GO,GO,STOP,GO,GO
town7_005135.png,STOP,STOP,GO,GO,GO
town7_005206.png,GO,STOP,STOP,STOP,GO
town7_005207.png,GO,GO,STOP,GO,STOP
town7_005212.png,STOP,GO,STOP,GO,STOP
town7_005429.png,GO,GO,GO,GO,STOP
town7_006363.png,GO,STOP,GO,STOP,GO
town7_006526.png,STOP,GO,GO,GO,STOP
town7_006726.png,STOP,STOP,GO,GO,GO
town7_006866.png,GO,STOP,STOP,STOP,STOP
town7_007024.png,STOP,GO,STOP,GO,STOP
town7_007166.png,GO,STOP,STOP,GO,STOP
town7_007488.png,GO,STOP,GO,GO,GO
town7_008559.png,STOP,GO,STOP,STOP,STOP
town7_008617.png,GO,GO,GO,GO,STOP
town7_008741.png,STOP,GO,STOP,GO,STOP
town7_008940.png,STOP,GO,GO,STOP,GO
town7_008943.png,GO,GO,STOP,STOP,GO
town7_009860.png,STOP,GO,STOP,GO,GO
town7_009885.png,STOP,GO,STOP,STOP,GO
town7_010423.png,STOP,GO,GO,STOP,STOP
town7_011092.png,STOP,STOP,STOP,GO,STOP
town7_011105.png,STOP,STOP,STOP,GO,STOP
town7_011107.png,STOP,STOP,GO,GO,STOP
town7_011108.png,STOP,GO,STOP,STOP,STOP
town7_011112.png,GO,STOP,STOP,STOP,STOP
town7_011179.png,STOP,GO,STOP,STOP,GO
town7_011386.png,GO,STOP,GO,GO,STOP
town7_011446.png,GO,GO,GO,STOP,STOP
town7_012056.png,GO,STOP,STOP,STOP,STOP
town7_012087.png,GO,STOP,STOP,STOP,GO
