Image File,Prediction (Before Masking),Confidence (Before Masking),Prediction (After Masking),Confidence (After Masking),Counterfactual Found,Grid Size,Grid Position,SSIM,MSE,PSNR,UQI,VIFP,Time Taken (s),Sparsity,Proximity,Masked Patches
town7_000003.png,GO,"0.23991, 0.76009",GO,"0.23991, 0.76009",False,,,,,,,,0.84404,,,3.0
town7_000009.png,GO,"0.21902, 0.78098",GO,"0.21902, 0.78098",False,,,,,,,,0.55294,,,3.0
town7_000010.png,GO,"0.21233, 0.78767",GO,"0.21233, 0.78767",False,,,,,,,,0.57215,,,3.0
town7_000016.png,GO,"0.22605, 0.77395",GO,"0.22605, 0.77395",False,,,,,,,,0.68709,,,3.0
town7_000024.png,GO,"0.22648, 0.77352",STOP,"0.22648, 0.77352",True,,57.0,0.7382,226.13099,24.5872,0.99171,0.22142,0.42252,0.02344,6.21152,3.0
town7_000027.png,GO,"0.29577, 0.70423",STOP,"0.29577, 0.70423",True,,56.0,0.75241,221.89833,24.66926,0.99203,0.22612,0.34772,0.02344,5.4536,3.0
town7_000028.png,GO,"0.27414, 0.72586",STOP,"0.27414, 0.72586",True,,94.0,0.76012,211.7182,24.87322,0.99161,0.27156,0.60655,0.02344,6.94527,3.0
town7_000041.png,GO,"0.26831, 0.73169",GO,"0.26831, 0.73169",False,,,,,,,,0.75343,,,3.0
town7_000044.png,GO,"0.28196, 0.71804",GO,"0.28196, 0.71804",False,,,,,,,,0.81898,,,3.0
town7_000054.png,GO,"0.3509, 0.6491",STOP,"0.3509, 0.6491",True,,11.0,0.63506,757.75633,19.33551,0.9669,0.14092,0.75522,0.09375,12.50906,3.0
town7_000066.png,GO,"0.12398, 0.87602",GO,"0.12398, 0.87602",False,,,,,,,,0.70503,,,3.0
town7_000067.png,GO,"0.16459, 0.83541",GO,"0.16459, 0.83541",False,,,,,,,,0.71495,,,3.0
town7_000070.png,GO,"0.15946, 0.84054",GO,"0.15946, 0.84054",False,,,,,,,,0.82226,,,3.0
town7_000080.png,GO,"0.33462, 0.66538",GO,"0.33462, 0.66538",False,,,,,,,,0.71185,,,3.0
town7_000084.png,STOP,"0.90739, 0.09261",GO,"0.90739, 0.09261",True,,68.0,0.76822,156.22349,26.19334,0.98914,0.28121,0.42939,0.02344,4.52437,3.0
town7_000093.png,STOP,"0.87658, 0.12342",GO,"0.87658, 0.12342",True,,33.0,0.77109,157.66013,26.15358,0.98988,0.30152,0.27822,0.02344,5.19253,3.0
town7_000101.png,STOP,"0.72185, 0.27815",GO,"0.72185, 0.27815",True,,13.0,0.78083,127.63622,27.07106,0.99169,0.32471,0.19874,0.02344,2.71497,3.0
town7_000103.png,GO,"0.26064, 0.73936",STOP,"0.26064, 0.73936",True,,81.0,0.69391,287.17802,23.54929,0.98376,0.23744,0.70442,0.02344,6.58569,3.0
town7_000104.png,GO,"0.18812, 0.81188",GO,"0.18812, 0.81188",False,,,,,,,,0.64526,,,3.0
town7_000109.png,GO,"0.13281, 0.86719",GO,"0.13281, 0.86719",False,,,,,,,,0.77719,,,3.0
town7_000116.png,GO,"0.48448, 0.51552",STOP,"0.48448, 0.51552",True,,37.0,0.70975,152.59701,26.29534,0.96509,0.2661,0.35584,0.08594,3.57912,11.0
town7_000127.png,STOP,"0.65324, 0.34676",GO,"0.65324, 0.34676",True,,0.0,0.72368,129.44708,27.00988,0.98264,0.31052,0.13322,0.03906,2.61718,5.0
town7_000128.png,STOP,"0.60111, 0.39889",GO,"0.60111, 0.39889",True,,0.0,0.72196,128.30922,27.04823,0.98323,0.30838,0.13209,0.03906,2.48566,5.0
town7_000129.png,STOP,"0.62419, 0.37581",GO,"0.62419, 0.37581",True,,1.0,0.71551,135.74237,26.80365,0.98163,0.30248,0.192,0.03906,2.54664,5.0
town7_000130.png,STOP,"0.57478, 0.42522",GO,"0.57478, 0.42522",True,,1.0,0.71364,138.04148,26.73071,0.9813,0.30486,0.2343,0.03906,2.6596,5.0
town7_000139.png,STOP,"0.63761, 0.36239",GO,"0.63761, 0.36239",True,,1.0,0.72624,132.06786,26.92283,0.98281,0.30735,0.17876,0.03906,2.91,5.0
town7_000140.png,STOP,"0.65746, 0.34254",GO,"0.65746, 0.34254",True,,2.0,0.72446,129.28107,27.01545,0.98252,0.3031,0.15438,0.03906,2.40427,5.0
town7_000141.png,GO,"0.48002, 0.51998",STOP,"0.48002, 0.51998",True,,9.0,0.73683,114.3931,27.54681,0.98105,0.306,0.19843,0.03906,2.77504,5.0
town7_000144.png,GO,"0.41157, 0.58843",STOP,"0.41157, 0.58843",True,,48.0,0.72681,139.13628,26.6964,0.97573,0.29375,0.31988,0.05469,3.91769,7.0
town7_000146.png,GO,"0.33357, 0.66643",STOP,"0.33357, 0.66643",True,,64.0,0.71847,169.05956,25.85041,0.9732,0.29934,0.3663,0.04688,4.2121,6.0
town7_000154.png,GO,"0.32893, 0.67107",STOP,"0.32893, 0.67107",True,,54.0,0.72733,149.0332,26.39797,0.97444,0.27622,0.43693,0.04688,5.18905,6.0
town7_000156.png,GO,"0.27425, 0.72575",STOP,"0.27425, 0.72575",True,,81.0,0.70032,195.26193,25.22463,0.98045,0.28155,0.6155,0.04688,6.25286,6.0
town7_000174.png,GO,"0.32563, 0.67437",STOP,"0.32563, 0.67437",True,,17.0,0.65873,554.23734,20.69385,0.95309,0.19574,0.73869,0.09375,11.12189,3.0
town7_000179.png,GO,"0.30355, 0.69645",STOP,"0.30355, 0.69645",True,,12.0,0.67338,444.05286,21.65646,0.96544,0.18134,0.76895,0.09375,12.57495,3.0
town7_000183.png,GO,"0.32542, 0.67458",GO,"0.32542, 0.67458",False,,,,,,,,0.61815,,,3.0
town7_000189.png,GO,"0.31894, 0.68106",STOP,"0.31894, 0.68106",True,,12.0,0.70015,397.47117,22.13775,0.96612,0.21583,0.76232,0.09375,11.87954,3.0
town7_000190.png,GO,"0.29178, 0.70822",STOP,"0.29178, 0.70822",True,,82.0,0.7458,172.04766,25.77432,0.98976,0.28075,0.54303,0.02344,6.38246,3.0
town7_000191.png,GO,"0.28145, 0.71855",STOP,"0.28145, 0.71855",True,,17.0,0.67435,571.64763,20.55952,0.965,0.19824,0.84656,0.09375,11.60924,3.0
town7_000204.png,GO,"0.33309, 0.66691",STOP,"0.33309, 0.66691",True,,55.0,0.80762,110.97362,27.67861,0.99153,0.32607,0.43435,0.02344,5.06167,3.0
town7_000205.png,GO,"0.33339, 0.66661",STOP,"0.33339, 0.66661",True,,55.0,0.80819,113.2313,27.59114,0.99151,0.32266,0.34294,0.02344,5.0013,3.0
town7_000215.png,GO,"0.26476, 0.73524",STOP,"0.26476, 0.73524",True,,81.0,0.70663,190.59648,25.32965,0.99014,0.24023,0.50446,0.02344,7.16171,3.0
town7_000216.png,GO,"0.2305, 0.7695",STOP,"0.2305, 0.7695",True,,17.0,0.6264,583.30844,20.47182,0.96499,0.18719,0.78885,0.09375,11.54513,3.0
town7_000218.png,GO,"0.19927, 0.80073",STOP,"0.19927, 0.80073",True,,27.0,0.66416,465.71792,21.44957,0.97915,0.22062,0.80892,0.09375,11.15432,3.0
