Image File,Prediction (Before Masking),Confidence (Before Masking),Prediction (After Masking),Confidence (After Masking),Counterfactual Found,Grid Size,Grid Position,SSIM,MSE,PSNR,UQI,VIFP,Time Taken (s)
town7_000003.png,GO,"[8e-05, 0.97127, 0.01644, 0.01221]",RIGHT,"0.0032858364, 0.16015162, 0.8240143, 0.012548311",True,"(10, 5)",22.0,0.67353,505.82169,21.09083,0.97814,0.20024,5.03754
town7_000009.png,GO,"[0.0, 0.97949, 0.00828, 0.01224]",RIGHT,"0.00042070725, 0.089285135, 0.8995191, 0.010775098",True,"(10, 5)",22.0,0.70828,469.79146,21.41175,0.97889,0.2093,4.61681
town7_000010.png,GO,"[1e-05, 0.96803, 0.01201, 0.01996]",RIGHT,"0.0001503173, 0.10012168, 0.88955486, 0.010173103",True,"(10, 5)",22.0,0.69797,468.37203,21.42489,0.97892,0.20987,4.63455
town7_000016.png,GO,"[0.00012, 0.9832, 0.00984, 0.00685]",RIGHT,"7.206236e-05, 0.2481953, 0.58916354, 0.16256915",True,"(10, 5)",7.0,0.67691,632.77979,20.11828,0.97522,0.17984,1.68004
town7_000024.png,GO,"[0.00054, 0.9788, 0.01454, 0.00612]",LEFT,"0.00012655243, 0.3634229, 0.039966058, 0.5964845",True,"(10, 5)",5.0,0.75072,335.00703,22.88026,0.97997,0.26951,1.38333
town7_000027.png,GO,"[0.00113, 0.96019, 0.03108, 0.0076]",RIGHT,"0.00065904367, 0.28469837, 0.69890994, 0.015732689",True,"(10, 5)",2.0,0.75343,290.52443,23.49898,0.99091,0.22979,0.66882
town7_000028.png,GO,"[0.0004, 0.96375, 0.02388, 0.01196]",RIGHT,"0.00046715248, 0.33642784, 0.64584243, 0.017262537",True,"(10, 5)",2.0,0.75955,305.12721,23.28599,0.99091,0.2238,0.73716
town7_000041.png,GO,"[0.0002, 0.96359, 0.02838, 0.00783]",RIGHT,"8.495451e-05, 0.14482237, 0.7787818, 0.07631093",True,"(10, 5)",6.0,0.76579,283.74471,23.60153,0.98503,0.28824,1.40329
town7_000044.png,GO,"[6e-05, 0.96361, 0.00613, 0.0302]",LEFT,"3.7251644e-05, 0.3476696, 0.015518448, 0.6367747",True,"(10, 5)",5.0,0.72185,299.71451,23.36373,0.9839,0.28192,1.29468
town7_000054.png,GO,"[0.01366, 0.93084, 0.01487, 0.04063]",LEFT,"0.0028047212, 0.19325979, 0.033412978, 0.7705225",True,"(10, 5)",0.0,0.82167,134.94526,26.82923,0.99364,0.35427,0.2653
town7_000066.png,LEFT,"[0.0, 0.01195, 0.00148, 0.98657]",GO,"4.431517e-08, 0.5957084, 0.006474313, 0.39781725",True,"(10, 5)",13.0,0.75826,370.51872,22.4427,0.98631,0.26458,2.84088
town7_000067.png,LEFT,"[0.0, 0.00336, 3e-05, 0.99661]",GO,"1.3238422e-06, 0.7677267, 0.009894656, 0.22237734",True,"(10, 5)",30.0,0.77682,429.84211,21.79771,0.97785,0.31559,6.30063
town7_000070.png,LEFT,"[3e-05, 0.00696, 5e-05, 0.99296]",RIGHT,"6.446346e-05, 0.009360398, 0.9066917, 0.08388352",True,"(4, 2)",4.0,0.50488,1910.73745,15.31879,0.88161,0.11746,10.5763
town7_000080.png,GO,"[0.00129, 0.99583, 0.00042, 0.00246]",LEFT,"0.0003450978, 0.13438815, 0.002634019, 0.8626327",True,"(10, 5)",27.0,0.66858,447.80047,21.61996,0.97385,0.20218,5.48578
town7_000084.png,STOP,"[0.81338, 0.18518, 0.00077, 0.00067]",GO,"0.32847792, 0.64949536, 0.017814256, 0.004212438",True,"(10, 5)",5.0,0.73329,417.62966,21.92289,0.97844,0.26768,1.17442
town7_000093.png,STOP,"[0.81434, 0.18416, 0.00072, 0.00078]",GO,"0.2865794, 0.67222685, 0.037885744, 0.003307977",True,"(10, 5)",5.0,0.73386,385.3806,22.27191,0.98134,0.26596,1.33229
town7_000101.png,STOP,"[0.64485, 0.34763, 0.00648, 0.00104]",GO,"0.2945503, 0.6688106, 0.034095872, 0.0025432885",True,"(10, 5)",5.0,0.73559,363.53237,22.52537,0.98093,0.25743,1.30778
town7_000103.png,GO,"[0.07416, 0.75411, 0.17043, 0.0013]",RIGHT,"0.012792313, 0.43631744, 0.5489217, 0.0019685864",True,"(10, 5)",0.0,0.73824,245.0237,24.23872,0.98635,0.26326,0.29682
