Image File,Prediction (Before Masking),Confidence (Before Masking),Prediction (After Masking),Confidence (After Masking),Counterfactual Found,Grid Size,Grid Position,SSIM,MSE,PSNR,UQI,VIFP,Time Taken (s)
town7_000003.png,GO,"[0.23718, 0.76282]",GO,"0.1752001, 0.82479984",False,,,,,,,,0.89807
town7_000009.png,GO,"[0.21004, 0.78996]",GO,"0.17745322, 0.82254684",False,,,,,,,,0.07239
town7_000010.png,GO,"[0.20816, 0.79184]",GO,"0.17376469, 0.82623535",False,,,,,,,,0.07163
town7_000016.png,GO,"[0.23292, 0.76708]",STOP,"0.5108487, 0.4891513",True,"(10, 5)",30.0,0.9582,547.74654,20.74501,0.97725,0.90702,0.39037
town7_000024.png,GO,"[0.24448, 0.75552]",STOP,"0.7234008, 0.27659923",True,"(10, 5)",22.0,0.95167,839.42508,18.89098,0.9764,0.83561,0.30452
town7_000027.png,GO,"[0.2859, 0.7141]",STOP,"0.7916921, 0.20830788",True,"(10, 5)",22.0,0.95145,848.20044,18.84582,0.97621,0.82731,0.30002
town7_000028.png,GO,"[0.2715, 0.7285]",STOP,"0.82792807, 0.17207193",True,"(10, 5)",22.0,0.95142,851.25953,18.83018,0.97621,0.82697,0.2913
town7_000041.png,GO,"[0.26452, 0.73548]",GO,"0.2518246, 0.74817544",False,,,,,,,,0.06307
town7_000044.png,GO,"[0.28874, 0.71126]",STOP,"0.7268531, 0.2731469",True,"(10, 5)",22.0,0.95176,824.94654,18.96655,0.97627,0.84886,0.32427
town7_000054.png,GO,"[0.34343, 0.65657]",STOP,"0.6745874, 0.32541254",True,"(10, 5)",22.0,0.95026,813.1463,19.02912,0.97567,0.84286,0.36274
town7_000066.png,GO,"[0.1233, 0.8767]",GO,"0.059935257, 0.9400648",False,,,,,,,,0.08531
town7_000067.png,GO,"[0.15615, 0.84385]",GO,"0.061115876, 0.93888414",False,,,,,,,,0.07275
town7_000070.png,GO,"[0.16568, 0.83432]",GO,"0.06384712, 0.93615294",False,,,,,,,,0.08415
town7_000080.png,GO,"[0.31658, 0.68342]",STOP,"0.609421, 0.39057902",True,"(10, 5)",37.0,0.95268,708.12169,19.62972,0.97677,0.91078,0.36021
town7_000084.png,STOP,"[0.89261, 0.10739]",GO,"0.44020295, 0.55979705",True,"(10, 5)",10.0,0.96177,495.85026,21.1773,0.97966,0.91477,0.28706
town7_000093.png,STOP,"[0.8743, 0.1257]",GO,"0.35551968, 0.6444803",True,"(10, 5)",10.0,0.96209,469.49872,21.41446,0.97973,0.91691,0.3964
town7_000101.png,STOP,"[0.78796, 0.21204]",GO,"0.47018844, 0.52981156",True,"(10, 5)",5.0,0.96216,442.75617,21.66916,0.97988,0.94934,0.31223
town7_000103.png,GO,"[0.26218, 0.73782]",STOP,"0.5423039, 0.45769608",True,"(10, 5)",16.0,0.95987,219.08354,24.72471,0.97828,0.87019,0.29419
town7_000104.png,GO,"[0.17637, 0.82363]",GO,"0.097386815, 0.90261316",False,,,,,,,,0.09246
town7_000109.png,GO,"[0.121, 0.879]",GO,"0.09092255, 0.90907747",False,,,,,,,,0.07025
town7_000116.png,GO,"[0.40404, 0.59596]",STOP,"0.53837013, 0.4616299",True,"(10, 5)",0.0,0.97951,176.02211,25.67513,0.98892,0.98057,0.28263
town7_000127.png,STOP,"[0.64355, 0.35645]",GO,"0.3874668, 0.6125332",True,"(10, 5)",5.0,0.96241,177.12062,25.64811,0.97978,0.96036,0.29101
town7_000128.png,STOP,"[0.63885, 0.36115]",GO,"0.4151289, 0.58487105",True,"(10, 5)",5.0,0.96274,174.89911,25.70293,0.97991,0.96187,0.28297
town7_000129.png,STOP,"[0.63635, 0.36365]",GO,"0.45142025, 0.54857975",True,"(10, 5)",1.0,0.97545,126.16615,27.12138,0.98767,0.98177,0.29333
town7_000130.png,STOP,"[0.57273, 0.42727]",GO,"0.43203735, 0.56796265",True,"(10, 5)",5.0,0.9629,174.94471,25.7018,0.97991,0.96178,0.28771
town7_000139.png,STOP,"[0.61705, 0.38295]",GO,"0.36939117, 0.6306088",True,"(10, 5)",5.0,0.9628,177.09362,25.64877,0.97987,0.96082,0.28042
town7_000140.png,STOP,"[0.70444, 0.29556]",GO,"0.49734366, 0.50265634",True,"(10, 5)",1.0,0.97529,121.87117,27.27179,0.98766,0.98169,0.38259
town7_000141.png,GO,"[0.49831, 0.50169]",STOP,"0.5483755, 0.4516245",True,"(10, 5)",2.0,0.97547,121.61102,27.28107,0.9877,0.97984,0.26992
town7_000144.png,GO,"[0.44, 0.56]",STOP,"0.618365, 0.38163507",True,"(10, 5)",3.0,0.97524,172.31932,25.76746,0.98758,0.97213,0.27286
town7_000146.png,GO,"[0.32673, 0.67327]",STOP,"0.73190016, 0.2680998",True,"(10, 5)",22.0,0.95813,321.02161,23.06546,0.97752,0.86352,0.2921
town7_000154.png,GO,"[0.33547, 0.66453]",STOP,"0.79289484, 0.20710514",True,"(10, 5)",22.0,0.95786,335.24831,22.87714,0.97776,0.86072,0.28965
town7_000156.png,GO,"[0.27922, 0.72078]",STOP,"0.78914946, 0.21085061",True,"(10, 5)",30.0,0.96025,693.69029,19.71915,0.97937,0.92983,0.30108
town7_000174.png,GO,"[0.32121, 0.67879]",STOP,"0.6209867, 0.3790133",True,"(10, 5)",42.0,0.95366,753.01935,19.36274,0.97764,0.97182,0.31092
town7_000179.png,GO,"[0.29515, 0.70485]",STOP,"0.6110062, 0.38899377",True,"(10, 5)",22.0,0.96013,383.23143,22.29619,0.97889,0.85564,0.3011
town7_000183.png,GO,"[0.32677, 0.67323]",STOP,"0.6196298, 0.38037023",True,"(10, 5)",22.0,0.96071,372.39565,22.42076,0.97908,0.85397,0.34724
town7_000189.png,GO,"[0.32233, 0.67767]",STOP,"0.7194233, 0.28057668",True,"(10, 5)",22.0,0.96244,349.71203,22.6937,0.97993,0.8632,0.45524
town7_000190.png,GO,"[0.29441, 0.70559]",STOP,"0.7162039, 0.28379604",True,"(10, 5)",22.0,0.96252,342.91958,22.77888,0.97987,0.86084,0.29231
town7_000191.png,GO,"[0.27597, 0.72403]",STOP,"0.6230561, 0.37694386",True,"(10, 5)",22.0,0.96188,339.83424,22.81813,0.97956,0.85722,0.36519
town7_000204.png,GO,"[0.33653, 0.66347]",STOP,"0.548166, 0.45183402",True,"(10, 5)",17.0,0.95141,338.20328,22.83903,0.97634,0.8567,0.32041
town7_000205.png,GO,"[0.32758, 0.67242]",STOP,"0.59301144, 0.40698862",True,"(10, 5)",17.0,0.95214,324.79409,23.01472,0.97662,0.86093,0.29269
town7_000215.png,GO,"[0.2586, 0.7414]",STOP,"0.74405026, 0.25594977",True,"(10, 5)",16.0,0.95752,228.61794,24.5397,0.97759,0.87796,0.30593
town7_000216.png,GO,"[0.23252, 0.76748]",STOP,"0.90805644, 0.09194361",True,"(10, 5)",30.0,0.9601,648.90237,20.00901,0.97828,0.90695,0.32017
town7_000218.png,GO,"[0.20773, 0.79227]",STOP,"0.82293993, 0.17706004",True,"(10, 5)",30.0,0.95885,639.55086,20.07205,0.97785,0.91507,0.36078
town7_000229.png,GO,"[0.31448, 0.68552]",STOP,"0.5029779, 0.4970221",True,"(10, 5)",41.0,0.9537,753.57784,19.35952,0.97765,0.97622,0.44793
town7_000238.png,GO,"[0.34431, 0.65569]",STOP,"0.72197294, 0.27802706",True,"(10, 5)",22.0,0.96094,347.83341,22.71709,0.97879,0.85767,0.3279
town7_000242.png,GO,"[0.32835, 0.67165]",STOP,"0.80767137, 0.19232865",True,"(10, 5)",22.0,0.96231,329.52768,22.95188,0.97893,0.85882,0.32222
town7_000246.png,GO,"[0.34397, 0.65603]",STOP,"0.71689785, 0.28310212",True,"(10, 5)",22.0,0.96213,328.91299,22.95999,0.9788,0.85779,0.32311
town7_000252.png,STOP,"[0.54441, 0.45559]",GO,"0.43141323, 0.5685867",True,"(10, 5)",0.0,0.9779,172.11596,25.77259,0.98844,0.98563,0.27804
town7_000260.png,STOP,"[0.83416, 0.16584]",GO,"0.34937447, 0.65062547",True,"(10, 5)",7.0,0.95628,167.12229,25.90046,0.978,0.9564,0.28178
