Image File,Prediction (Before Masking),Confidence (Before Masking),Prediction (After Masking),Confidence (After Masking),Counterfactual Found,Grid Size,Grid Position,SSIM,MSE,PSNR,UQI,VIFP,Time Taken (s)
town7_000003.png,GO,"[8e-05, 0.97127, 0.01644, 0.01221]",LEFT,"[0.00000, 0.00003, 0.00000, 0.99997]",True,Superpixel,,0.13499,14553.62935,6.50109,0.31991,0.02051,1.17548
town7_000009.png,GO,"[0.0, 0.97949, 0.00828, 0.01224]",LEFT,"[0.00000, 0.00009, 0.00003, 0.99988]",True,Superpixel,,0.14412,14798.28846,6.42869,0.28337,0.02886,0.52122
town7_000010.png,GO,"[1e-05, 0.96803, 0.01201, 0.01996]",GO,"[0.00000, 0.60514, 0.38931, 0.00555]",False,Superpixel,,,,,,,0.37534
town7_000016.png,GO,"[0.00012, 0.9832, 0.00984, 0.00685]",GO,"[0.00000, 0.99983, 0.00002, 0.00015]",False,Superpixel,,,,,,,0.38559
town7_000024.png,GO,"[0.00054, 0.9788, 0.01454, 0.00612]",RIGHT,"[0.00001, 0.01234, 0.98747, 0.00018]",True,Superpixel,,0.30079,12087.3199,7.3075,0.45497,0.07196,0.47021
town7_000027.png,GO,"[0.00113, 0.96019, 0.03108, 0.0076]",RIGHT,"[0.00000, 0.02523, 0.97426, 0.00051]",True,Superpixel,,0.17616,13942.71745,6.68733,0.40426,0.03764,0.51196
town7_000028.png,GO,"[0.0004, 0.96375, 0.02388, 0.01196]",LEFT,"[0.00000, 0.00000, 0.00002, 0.99997]",True,Superpixel,,0.12371,19207.29909,5.29614,0.19845,0.01612,0.45989
town7_000041.png,GO,"[0.0002, 0.96359, 0.02838, 0.00783]",GO,"[0.00000, 0.99520, 0.00378, 0.00102]",False,Superpixel,,,,,,,0.42253
town7_000044.png,GO,"[6e-05, 0.96361, 0.00613, 0.0302]",RIGHT,"[0.00000, 0.00401, 0.99590, 0.00009]",True,Superpixel,,0.28121,11498.8162,7.52427,0.49911,0.04972,0.45158
town7_000054.png,GO,"[0.01366, 0.93084, 0.01487, 0.04063]",LEFT,"[0.00000, 0.00001, 0.00013, 0.99986]",True,Superpixel,,0.09819,18457.98492,5.46896,0.17088,0.0166,0.45275
town7_000066.png,LEFT,"[0.0, 0.01195, 0.00148, 0.98657]",LEFT,"[0.00000, 0.00035, 0.00000, 0.99965]",False,Superpixel,,,,,,,0.35532
town7_000067.png,LEFT,"[0.0, 0.00336, 3e-05, 0.99661]",LEFT,"[0.00000, 0.00000, 0.00000, 1.00000]",False,Superpixel,,,,,,,0.39579
town7_000070.png,LEFT,"[3e-05, 0.00696, 5e-05, 0.99296]",LEFT,"[0.00001, 0.04580, 0.00214, 0.95205]",False,Superpixel,,,,,,,0.34763
town7_000080.png,GO,"[0.00129, 0.99583, 0.00042, 0.00246]",LEFT,"[0.00000, 0.00001, 0.00000, 0.99999]",True,Superpixel,,0.18533,10169.65109,8.05774,0.34189,0.04354,0.4467
town7_000084.png,STOP,"[0.81338, 0.18518, 0.00077, 0.00067]",LEFT,"[0.00000, 0.00012, 0.09517, 0.90471]",True,Superpixel,,0.21424,6422.69688,10.05363,0.60536,0.03532,0.49814
town7_000093.png,STOP,"[0.81434, 0.18416, 0.00072, 0.00078]",LEFT,"[0.00000, 0.00007, 0.01915, 0.98078]",True,Superpixel,,0.17142,8473.76185,8.85004,0.41274,0.033,0.45319
town7_000101.png,STOP,"[0.64485, 0.34763, 0.00648, 0.00104]",LEFT,"[0.00252, 0.08100, 0.24272, 0.67376]",True,Superpixel,,0.43113,2183.97786,14.73832,0.7472,0.09051,0.49021
