Image File,Prediction (Before Masking),Confidence (Before Masking),Prediction (After Masking),Confidence (After Masking),Counterfactual Found,Grid Size,Grid Position,SSIM,MSE,PSNR,UQI,VIFP,Time Taken (s)
town7_000003.png,GO,"[0.23718, 0.76282]",GO,"0.036071006, 0.96392894",False,Superpixel,N/A,,,,,,1.50765
town7_000009.png,GO,"[0.21004, 0.78996]",GO,"0.004405792, 0.9955942",False,Superpixel,N/A,,,,,,0.57486
town7_000010.png,GO,"[0.20816, 0.79184]",GO,"0.00080529664, 0.9991947",False,Superpixel,N/A,,,,,,0.56616
town7_000016.png,GO,"[0.23292, 0.76708]",GO,"0.0036384666, 0.99636155",False,Superpixel,N/A,,,,,,0.57432
town7_000024.png,GO,"[0.24448, 0.75552]",GO,"2.1696136e-05, 0.9999783",False,Superpixel,N/A,,,,,,0.57312
town7_000027.png,GO,"[0.2859, 0.7141]",GO,"0.0005390317, 0.999461",False,Superpixel,N/A,,,,,,0.58008
town7_000028.png,GO,"[0.2715, 0.7285]",GO,"0.00059617934, 0.99940383",False,Superpixel,N/A,,,,,,0.55504
town7_000041.png,GO,"[0.26452, 0.73548]",GO,"5.695483e-06, 0.9999943",False,Superpixel,N/A,,,,,,0.60079
town7_000044.png,GO,"[0.28874, 0.71126]",GO,"0.00032103108, 0.99967897",False,Superpixel,N/A,,,,,,0.58615
town7_000054.png,GO,"[0.34343, 0.65657]",GO,"0.0005846307, 0.9994154",False,Superpixel,N/A,,,,,,0.59538
town7_000066.png,GO,"[0.1233, 0.8767]",GO,"1.1328431e-05, 0.9999887",False,Superpixel,N/A,,,,,,0.6022
town7_000067.png,GO,"[0.15615, 0.84385]",GO,"5.88955e-05, 0.9999411",False,Superpixel,N/A,,,,,,0.60817
town7_000070.png,GO,"[0.16568, 0.83432]",GO,"0.00056209025, 0.99943787",False,Superpixel,N/A,,,,,,0.57958
town7_000080.png,GO,"[0.31658, 0.68342]",GO,"1.012576e-05, 0.99998987",False,Superpixel,N/A,,,,,,0.5616
town7_000084.png,STOP,"[0.89261, 0.10739]",GO,"0.024365798, 0.97563416",True,Superpixel,N/A,0.21671,15254.85568,6.29672,0.30447,0.12437,0.87338
town7_000093.png,STOP,"[0.8743, 0.1257]",GO,"0.064917065, 0.9350829",True,Superpixel,N/A,0.39006,13867.0075,6.71098,0.47958,0.29586,0.84096
town7_000101.png,STOP,"[0.78796, 0.21204]",GO,"0.014353103, 0.9856469",True,Superpixel,N/A,0.24578,15105.17138,6.33955,0.35248,0.10673,0.8049
town7_000103.png,GO,"[0.26218, 0.73782]",GO,"0.022309763, 0.9776903",False,Superpixel,N/A,,,,,,0.62179
town7_000104.png,GO,"[0.17637, 0.82363]",GO,"0.0010849714, 0.9989151",False,Superpixel,N/A,,,,,,0.60539
town7_000109.png,GO,"[0.121, 0.879]",GO,"0.010149187, 0.9898509",False,Superpixel,N/A,,,,,,0.60991
town7_000116.png,GO,"[0.40404, 0.59596]",GO,"0.0010537425, 0.99894625",False,Superpixel,N/A,,,,,,0.60221
town7_000127.png,STOP,"[0.64355, 0.35645]",GO,"0.017431749, 0.98256826",True,Superpixel,N/A,0.40591,8658.43375,8.75641,0.48551,0.2699,0.90854
town7_000128.png,STOP,"[0.63885, 0.36115]",GO,"0.16386764, 0.83613235",True,Superpixel,N/A,0.54691,6245.69346,10.175,0.62624,0.40551,0.93206
town7_000129.png,STOP,"[0.63635, 0.36365]",GO,"0.1991312, 0.8008688",True,Superpixel,N/A,0.59713,6242.04326,10.17754,0.68691,0.4123,0.88829
