Image File,Prediction (Before Masking),Confidence (Before Masking),Prediction (After Masking),Confidence (After Masking),Counterfactual Found,Grid Size,Grid Position,SSIM,MSE,PSNR,UQI,VIFP,Time Taken (s)
town7_000003.png,GO,"[0.00013, 0.97216, 0.01891, 0.00881]",LEFT,"[0.00013, 0.03916, 0.0127, 0.948]",True,,,0.43835,7081.52872,9.62953,0.59853,0.09166,1.08953
town7_000009.png,GO,"[1e-05, 0.9729, 0.01266, 0.01444]",LEFT,"[9e-05, 0.02827, 0.00686, 0.96478]",True,,,0.47142,7138.23422,9.5949,0.5974,0.11951,0.89302
town7_000010.png,GO,"[0.0, 0.96916, 0.00866, 0.02218]",LEFT,"[0.00014, 0.03482, 0.00401, 0.96104]",True,,,0.46092,7073.16883,9.63466,0.59733,0.11097,1.00208
town7_000016.png,GO,"[9e-05, 0.9843, 0.00747, 0.00813]",LEFT,"[8e-05, 0.03156, 0.01032, 0.95803]",True,,,0.45584,7079.69208,9.63066,0.60444,0.08727,0.93213
town7_000024.png,GO,"[0.00055, 0.97938, 0.01465, 0.00542]",LEFT,"[0.0002, 0.03114, 0.03073, 0.93793]",True,,,0.46016,7678.63422,9.27796,0.59544,0.08696,0.90379
town7_000027.png,GO,"[0.00115, 0.96284, 0.02773, 0.00827]",LEFT,"[0.00036, 0.05344, 0.03546, 0.91074]",True,,,0.48317,7453.50552,9.4072,0.60863,0.09317,0.94852
town7_000028.png,GO,"[0.0005, 0.94655, 0.04286, 0.01008]",LEFT,"[0.00038, 0.04967, 0.04977, 0.90018]",True,,,0.48646,7329.55706,9.48003,0.60676,0.09089,0.90403
town7_000041.png,GO,"[0.0003, 0.91919, 0.06883, 0.01168]",LEFT,"[0.00022, 0.03667, 0.01677, 0.94634]",True,,,0.48475,7363.10661,9.46019,0.62122,0.10714,1.06815
town7_000044.png,GO,"[5e-05, 0.97488, 0.00544, 0.01962]",LEFT,"[0.00038, 0.02736, 0.0141, 0.95815]",True,,,0.44981,7117.54745,9.6075,0.62424,0.09618,0.94156
town7_000054.png,GO,"[0.01325, 0.94709, 0.01096, 0.02871]",LEFT,"[0.0003, 0.0598, 0.34247, 0.59743]",True,,,0.45915,7365.3031,9.4589,0.59805,0.11202,0.92466
town7_000066.png,LEFT,"[0.0, 0.01375, 0.00112, 0.98512]",LEFT,"[2e-05, 0.00799, 0.00736, 0.98463]",False,,,,,,,,0.94992
town7_000067.png,LEFT,"[0.0, 0.00345, 3e-05, 0.99652]",LEFT,"[1e-05, 0.00639, 0.00917, 0.98444]",False,,,,,,,,0.7857
town7_000070.png,LEFT,"[4e-05, 0.00631, 3e-05, 0.99362]",LEFT,"[1e-05, 0.00193, 0.00175, 0.99632]",False,,,,,,,,0.81504
town7_000080.png,GO,"[0.00061, 0.99589, 0.00047, 0.00303]",LEFT,"[5e-05, 0.02686, 0.04978, 0.92331]",True,,,0.42025,4999.64076,11.14142,0.64155,0.08422,0.85174
town7_000084.png,STOP,"[0.83254, 0.16646, 0.0005, 0.0005]",LEFT,"[0.00017, 0.03361, 0.16367, 0.80255]",True,,,0.40036,4844.28172,11.27851,0.63263,0.07816,0.93046
town7_000093.png,STOP,"[0.83748, 0.16162, 0.00043, 0.00047]",RIGHT,"[0.00011, 0.0394, 0.57943, 0.38106]",True,,,0.38053,5035.49682,11.11038,0.61521,0.07212,0.9015
town7_000101.png,STOP,"[0.78265, 0.21446, 0.00215, 0.00074]",LEFT,"[0.0001, 0.03356, 0.16733, 0.79901]",True,,,0.37478,5047.21977,11.10028,0.61913,0.06466,1.11637
town7_000103.png,GO,"[0.05712, 0.80182, 0.13952, 0.00153]",LEFT,"[0.00011, 0.0419, 0.41621, 0.54178]",True,,,0.37499,4989.75448,11.15001,0.62303,0.06722,0.96337
town7_000104.png,RIGHT,"[0.00078, 0.27269, 0.72557, 0.00096]",LEFT,"[7e-05, 0.04053, 0.22734, 0.73207]",True,,,0.38005,5203.81458,10.96759,0.61121,0.07165,0.86243
town7_000109.png,GO,"[0.0, 0.85901, 0.02331, 0.11768]",LEFT,"[1e-05, 0.01222, 0.02039, 0.96738]",True,,,0.40667,5060.73482,11.08867,0.61951,0.0817,0.87593
town7_000116.png,RIGHT,"[0.00102, 0.22468, 0.77255, 0.00174]",LEFT,"[2e-05, 0.00669, 0.38533, 0.60796]",True,,,0.41442,2713.30182,13.79582,0.66227,0.08326,1.0041
town7_000128.png,STOP,"[0.61596, 0.37149, 9e-05, 0.01246]",LEFT,"[1e-05, 0.00659, 0.0147, 0.9787]",True,,,0.38022,3526.99607,12.65675,0.6514,0.07351,0.96315
town7_000129.png,STOP,"[0.56858, 0.41519, 0.00013, 0.01611]",LEFT,"[1e-05, 0.00758, 0.0082, 0.98422]",True,,,0.38443,3402.81471,12.81242,0.65942,0.07631,0.89232
town7_000130.png,STOP,"[0.54233, 0.43959, 0.0001, 0.01799]",LEFT,"[1e-05, 0.00697, 0.00969, 0.98333]",True,,,0.3787,3496.31255,12.6947,0.65368,0.07186,0.88217
town7_000140.png,STOP,"[0.55547, 0.43933, 6e-05, 0.00513]",LEFT,"[1e-05, 0.00817, 0.01539, 0.97643]",True,,,0.4051,3406.28141,12.808,0.65104,0.07713,0.80901
town7_000141.png,GO,"[0.30074, 0.69046, 5e-05, 0.00876]",LEFT,"[1e-05, 0.00742, 0.00482, 0.98776]",True,,,0.40571,3321.52086,12.91743,0.64659,0.07615,0.83383
town7_000144.png,GO,"[0.02059, 0.91979, 0.00026, 0.05936]",LEFT,"[1e-05, 0.00577, 0.0389, 0.95532]",True,,,0.40066,3373.06477,12.85056,0.65091,0.06862,0.8796
town7_000146.png,GO,"[0.0049, 0.92044, 0.00069, 0.07397]",LEFT,"[2e-05, 0.00916, 0.09371, 0.89711]",True,,,0.41517,3230.66927,13.03788,0.6721,0.08152,0.86122
town7_000154.png,LEFT,"[0.00489, 0.15283, 0.00832, 0.83396]",LEFT,"[2e-05, 0.00786, 0.16095, 0.83117]",False,,,,,,,,0.89801
town7_000156.png,LEFT,"[0.00142, 0.11053, 0.01155, 0.87651]",LEFT,"[1e-05, 0.01055, 0.05927, 0.93016]",False,,,,,,,,0.82193
town7_000174.png,GO,"[0.00056, 0.9592, 0.02032, 0.01991]",LEFT,"[1e-05, 0.06851, 0.27691, 0.65457]",True,,,0.45036,5745.8669,10.53725,0.60987,0.08871,0.98723
town7_000179.png,GO,"[0.00146, 0.94614, 0.04517, 0.00723]",LEFT,"[1e-05, 0.0363, 0.33018, 0.63351]",True,,,0.43166,5627.7207,10.62748,0.63017,0.07184,0.90733
town7_000183.png,GO,"[0.00097, 0.96913, 0.0167, 0.0132]",RIGHT,"[1e-05, 0.0486, 0.50018, 0.45121]",True,,,0.42354,5694.13289,10.57653,0.61221,0.06895,0.91049
town7_000189.png,GO,"[0.00461, 0.96455, 0.02185, 0.00899]",LEFT,"[2e-05, 0.03784, 0.25813, 0.70401]",True,,,0.44619,5919.56992,10.4079,0.6095,0.09158,0.93504
town7_000190.png,GO,"[0.00268, 0.9676, 0.02399, 0.00573]",LEFT,"[2e-05, 0.04419, 0.14561, 0.81017]",True,,,0.43945,5942.4938,10.39112,0.60733,0.08808,0.87932
town7_000191.png,GO,"[0.00223, 0.9673, 0.02229, 0.00818]",LEFT,"[4e-05, 0.03352, 0.37502, 0.59143]",True,,,0.45697,5810.10086,10.48897,0.6259,0.0978,0.80821
town7_000204.png,GO,"[0.03114, 0.96334, 0.00108, 0.00444]",LEFT,"[1e-05, 0.034, 0.08936, 0.87662]",True,,,0.46122,5968.67357,10.37203,0.61357,0.09456,0.87703
town7_000205.png,GO,"[0.05272, 0.94086, 0.00053, 0.0059]",LEFT,"[2e-05, 0.04958, 0.14301, 0.80739]",True,,,0.44919,6089.02073,10.28533,0.60518,0.08958,0.86083
town7_000215.png,GO,"[0.08488, 0.90182, 0.00578, 0.00753]",LEFT,"[1e-05, 0.05639, 0.19186, 0.75174]",True,,,0.43226,5821.27307,10.48062,0.60315,0.10018,1.0083
town7_000216.png,GO,"[0.01587, 0.94066, 0.03527, 0.00819]",LEFT,"[1e-05, 0.02929, 0.07914, 0.89156]",True,,,0.42115,5879.47622,10.43742,0.60768,0.09351,0.97821
town7_000229.png,GO,"[0.0001, 0.99426, 0.00297, 0.00267]",LEFT,"[4e-05, 0.03618, 0.059, 0.90478]",True,,,0.44994,5715.78367,10.56005,0.61739,0.11261,0.80879
town7_000238.png,GO,"[0.0013, 0.99636, 0.00087, 0.00148]",LEFT,"[3e-05, 0.04901, 0.31934, 0.63162]",True,,,0.44696,5745.87924,10.53724,0.61318,0.0991,0.84129
town7_000242.png,GO,"[0.00285, 0.99457, 0.00124, 0.00133]",LEFT,"[3e-05, 0.04348, 0.37156, 0.58492]",True,,,0.43721,6012.75487,10.34007,0.60405,0.08463,0.81986
town7_000246.png,GO,"[0.01404, 0.98311, 0.00088, 0.00197]",LEFT,"[3e-05, 0.043, 0.04819, 0.90878]",True,,,0.42353,6041.98122,10.31901,0.60636,0.08163,0.83049
town7_000252.png,GO,"[0.032, 0.9446, 0.00157, 0.02184]",LEFT,"[7e-05, 0.05105, 0.14128, 0.80761]",True,,,0.4188,5725.67565,10.55254,0.61512,0.08175,0.93981
town7_000260.png,STOP,"[0.85735, 0.14249, 2e-05, 0.00014]",LEFT,"[2e-05, 0.01752, 0.33299, 0.64947]",True,,,0.3814,5906.91469,10.4172,0.59616,0.07221,0.88069
town7_000261.png,STOP,"[0.85804, 0.14172, 3e-05, 0.00021]",RIGHT,"[1e-05, 0.01814, 0.77672, 0.20513]",True,,,0.37984,5862.67112,10.44985,0.59656,0.07323,0.81478
town7_000262.png,STOP,"[0.84801, 0.15177, 3e-05, 0.00018]",LEFT,"[2e-05, 0.02499, 0.42921, 0.54577]",True,,,0.37885,5819.0993,10.48225,0.60102,0.07144,0.8326
town7_000263.png,STOP,"[0.8531, 0.14671, 3e-05, 0.00016]",LEFT,"[1e-05, 0.01711, 0.17361, 0.80926]",True,,,0.37975,5817.21648,10.48365,0.59798,0.07335,0.88287
town7_000265.png,STOP,"[0.86038, 0.1394, 4e-05, 0.00018]",LEFT,"[2e-05, 0.02089, 0.2932, 0.68589]",True,,,0.38026,5723.93003,10.55386,0.60728,0.07166,0.91285
town7_000269.png,STOP,"[0.84494, 0.15466, 7e-05, 0.00034]",LEFT,"[2e-05, 0.02336, 0.20718, 0.76944]",True,,,0.37927,5913.53885,10.41233,0.59435,0.07353,0.92175
town7_000273.png,STOP,"[0.84011, 0.15953, 6e-05, 0.0003]",LEFT,"[2e-05, 0.02348, 0.40588, 0.57063]",True,,,0.38041,5711.91893,10.56298,0.60665,0.07465,0.83166
town7_000289.png,RIGHT,"[1e-05, 0.05103, 0.94573, 0.00323]",LEFT,"[0.00013, 0.03965, 0.06822, 0.892]",True,,,0.43223,7650.72336,9.29378,0.5963,0.08515,0.81939
town7_000296.png,GO,"[0.00018, 0.98478, 0.00362, 0.01142]",LEFT,"[0.00036, 0.06083, 0.0598, 0.87902]",True,,,0.49985,7230.26271,9.53926,0.61526,0.13497,0.84594
town7_000302.png,GO,"[0.0004, 0.98156, 0.00597, 0.01207]",LEFT,"[0.0003, 0.06762, 0.01021, 0.92187]",True,,,0.47774,7587.85826,9.32961,0.60472,0.10767,0.85565
town7_000309.png,GO,"[2e-05, 0.96351, 0.01042, 0.02605]",LEFT,"[0.00013, 0.06745, 0.00202, 0.9304]",True,,,0.48461,7359.1501,9.46253,0.62219,0.1186,0.88168
town7_000312.png,GO,"[0.00013, 0.99147, 0.00647, 0.00194]",LEFT,"[0.00031, 0.05319, 0.06425, 0.88226]",True,,,0.50484,7027.21219,9.66297,0.61546,0.14207,1.00169
town7_000314.png,GO,"[7e-05, 0.98785, 0.00378, 0.0083]",LEFT,"[0.00031, 0.06862, 0.00927, 0.9218]",True,,,0.49749,7276.05344,9.51184,0.61929,0.12939,0.87201
town7_000315.png,GO,"[0.00051, 0.98621, 0.00415, 0.00912]",LEFT,"[0.00016, 0.0457, 0.00705, 0.94708]",True,,,0.49061,7586.69911,9.33028,0.60534,0.13043,0.82657
town7_000319.png,GO,"[0.00037, 0.9686, 0.01673, 0.01429]",LEFT,"[0.00026, 0.11199, 0.02261, 0.86514]",True,,,0.48828,7504.00596,9.37787,0.61055,0.12523,0.78261
town7_000324.png,GO,"[6e-05, 0.97909, 0.01297, 0.00788]",LEFT,"[0.00024, 0.04569, 0.01832, 0.93575]",True,,,0.48843,7099.28693,9.61866,0.61266,0.12977,0.80156
town7_000327.png,GO,"[0.00026, 0.98282, 0.01006, 0.00686]",LEFT,"[0.00025, 0.03798, 0.01451, 0.94726]",True,,,0.47511,7008.2518,9.67471,0.6216,0.11059,0.8131
town7_000337.png,STOP,"[0.93847, 0.06142, 3e-05, 8e-05]",LEFT,"[0.00025, 0.08393, 0.04483, 0.87099]",True,,,0.42134,7241.71161,9.53239,0.59532,0.08102,0.83492
town7_000343.png,STOP,"[0.93881, 0.06112, 3e-05, 4e-05]",LEFT,"[0.0002, 0.04389, 0.02697, 0.92894]",True,,,0.39323,7344.11188,9.47141,0.59008,0.07744,0.79516
town7_000345.png,STOP,"[0.94599, 0.05399, 1e-05, 2e-05]",LEFT,"[0.00022, 0.04457, 0.02163, 0.93359]",True,,,0.38702,7282.43549,9.50804,0.59166,0.07095,0.82995
town7_000346.png,STOP,"[0.9339, 0.06605, 1e-05, 4e-05]",LEFT,"[0.00019, 0.03794, 0.00915, 0.95273]",True,,,0.39561,7051.9451,9.64771,0.61247,0.07482,0.86424
town7_000361.png,STOP,"[0.94048, 0.05948, 1e-05, 3e-05]",LEFT,"[0.00017, 0.0453, 0.01772, 0.93681]",True,,,0.38912,7177.82583,9.57087,0.59638,0.07729,0.79561
town7_000375.png,STOP,"[0.9409, 0.05904, 2e-05, 4e-05]",LEFT,"[0.00019, 0.08553, 0.05272, 0.86155]",True,,,0.39079,7026.04409,9.66369,0.60621,0.07065,0.80228
town7_000376.png,STOP,"[0.95634, 0.04362, 1e-05, 3e-05]",LEFT,"[0.00041, 0.05535, 0.10705, 0.83719]",True,,,0.39013,7159.67633,9.58187,0.59479,0.07486,0.80801
town7_000377.png,STOP,"[0.94445, 0.05548, 3e-05, 4e-05]",LEFT,"[0.00021, 0.04089, 0.00997, 0.94893]",True,,,0.39191,7022.63091,9.66581,0.60796,0.07014,0.8722
town7_000383.png,STOP,"[0.95789, 0.04207, 1e-05, 3e-05]",LEFT,"[0.00024, 0.04655, 0.01603, 0.93719]",True,,,0.38941,7139.3849,9.5942,0.59769,0.07364,0.78737
town7_000386.png,STOP,"[0.93942, 0.06051, 2e-05, 6e-05]",LEFT,"[0.00018, 0.05438, 0.02343, 0.92201]",True,,,0.3845,7140.34211,9.59361,0.59521,0.07133,0.80371
town7_000392.png,STOP,"[0.95473, 0.04525, 1e-05, 1e-05]",LEFT,"[0.00012, 0.05425, 0.00568, 0.93995]",True,,,0.38765,7125.29805,9.60277,0.59759,0.07021,0.79886
town7_000397.png,STOP,"[0.94676, 0.0532, 2e-05, 2e-05]",LEFT,"[0.00021, 0.0623, 0.01605, 0.92144]",True,,,0.38774,7151.86612,9.58661,0.59487,0.07538,0.93447
town7_000403.png,STOP,"[0.93748, 0.06249, 1e-05, 2e-05]",LEFT,"[0.00015, 0.04057, 0.01489, 0.94439]",True,,,0.38473,7167.30026,9.57725,0.59548,0.07166,0.85361
town7_000407.png,STOP,"[0.93839, 0.06155, 3e-05, 3e-05]",LEFT,"[0.00022, 0.05151, 0.02135, 0.92692]",True,,,0.38911,7059.66404,9.64296,0.59955,0.07518,0.85951
town7_000409.png,STOP,"[0.95373, 0.04625, 1e-05, 1e-05]",LEFT,"[0.0002, 0.06081, 0.10673, 0.83226]",True,,,0.3948,7034.39263,9.65854,0.6025,0.07401,0.84633
town7_000411.png,STOP,"[0.94466, 0.05528, 1e-05, 4e-05]",LEFT,"[0.00032, 0.06489, 0.09129, 0.8435]",True,,,0.38551,7091.10289,9.62367,0.59739,0.07299,0.78916
town7_000414.png,STOP,"[0.93245, 0.06746, 2e-05, 7e-05]",LEFT,"[0.00024, 0.05897, 0.02413, 0.91665]",True,,,0.38867,7078.23102,9.63156,0.60222,0.07158,0.85143
town7_000415.png,STOP,"[0.93352, 0.0664, 3e-05, 5e-05]",LEFT,"[0.00018, 0.05765, 0.03611, 0.90606]",True,,,0.39175,7091.28693,9.62355,0.6,0.07725,0.83102
