Image File,Prediction (Before Masking),Confidence (Before Masking),Prediction (After Masking),Confidence (After Masking),Counterfactual Found,Features Replaced,Feature Selection (%),Sparsity,Proximity,SSIM,MSE,PSNR,UQI,VIFP,Time Taken (s)
town7_000003.png,GO,"[0.24446, 0.75554]",GO,"[0.29964, 0.70036]",False,128.0,100.00%,,,,,,,,0.61795
town7_000009.png,GO,"[0.21346, 0.78654]",GO,"[0.32104, 0.67896]",False,128.0,100.00%,,,,,,,,0.47363
town7_000010.png,GO,"[0.2042, 0.7958]",GO,"[0.32297, 0.67703]",False,128.0,100.00%,,,,,,,,0.39968
town7_000016.png,GO,"[0.2336, 0.7664]",GO,"[0.18398, 0.81602]",False,128.0,100.00%,,,,,,,,0.5375
town7_000024.png,GO,"[0.24658, 0.75342]",GO,"[0.31864, 0.68136]",False,128.0,100.00%,,,,,,,,0.52087
town7_000027.png,GO,"[0.28914, 0.71086]",STOP,"[0.50103, 0.49897]",True,26.0,20.31%,26.0,4.49522,0.77122,182.74932,25.51225,0.99367,0.27453,0.16932
town7_000028.png,GO,"[0.27111, 0.72889]",GO,"[0.32044, 0.67956]",False,128.0,100.00%,,,,,,,,0.39988
town7_000041.png,GO,"[0.26636, 0.73364]",GO,"[0.28948, 0.71052]",False,128.0,100.00%,,,,,,,,0.4798
town7_000044.png,GO,"[0.29357, 0.70643]",GO,"[0.32609, 0.67391]",False,128.0,100.00%,,,,,,,,0.50236
town7_000054.png,GO,"[0.34577, 0.65423]",STOP,"[0.50047, 0.49953]",True,120.0,93.75%,120.0,8.8613,0.74176,367.20461,22.48172,0.98476,0.23007,0.46746
town7_000066.png,GO,"[0.11589, 0.88411]",GO,"[0.30409, 0.69591]",False,128.0,100.00%,,,,,,,,0.39802
town7_000067.png,GO,"[0.16426, 0.83574]",GO,"[0.3002, 0.6998]",False,128.0,100.00%,,,,,,,,0.52689
town7_000070.png,GO,"[0.15195, 0.84805]",GO,"[0.16602, 0.83398]",False,128.0,100.00%,,,,,,,,0.61299
town7_000080.png,GO,"[0.32219, 0.67781]",STOP,"[0.51881, 0.48119]",True,14.0,10.94%,14.0,4.36713,0.75873,176.56068,25.66186,0.98929,0.27599,0.25168
town7_000084.png,STOP,"[0.89906, 0.10094]",GO,"[0.49875, 0.50125]",True,50.0,39.06%,50.0,5.82296,0.77536,161.12802,26.05909,0.98777,0.30537,0.24582
town7_000093.png,STOP,"[0.8706, 0.1294]",GO,"[0.49231, 0.50769]",True,45.0,35.16%,45.0,4.97656,0.78152,162.7343,26.01601,0.98865,0.30638,0.46661
town7_000101.png,STOP,"[0.75122, 0.24878]",GO,"[0.44963, 0.55037]",True,5.0,3.91%,5.0,1.24971,0.78536,115.44891,27.50691,0.99241,0.33108,0.19192
town7_000103.png,GO,"[0.24997, 0.75003]",STOP,"[0.52535, 0.47465]",True,91.0,71.09%,91.0,4.45352,0.74211,246.16711,24.2185,0.98322,0.25656,0.35603
town7_000104.png,GO,"[0.19335, 0.80665]",GO,"[0.24613, 0.75387]",False,128.0,100.00%,,,,,,,,0.61427
town7_000109.png,GO,"[0.12314, 0.87686]",GO,"[0.15098, 0.84902]",False,128.0,100.00%,,,,,,,,0.45528
town7_000116.png,GO,"[0.46694, 0.53306]",STOP,"[0.50283, 0.49717]",True,7.0,5.47%,7.0,1.49566,0.72024,143.32742,26.56751,0.96459,0.28548,0.34474
town7_000127.png,STOP,"[0.58265, 0.41735]",GO,"[0.47985, 0.52015]",True,10.0,7.81%,10.0,0.87315,0.72302,127.32117,27.0818,0.98197,0.3075,0.2972
