Image File,Prediction (Before Masking),Confidence (Before Masking),Prediction (After Masking),Confidence (After Masking),Counterfactual Found,Features Replaced,Feature Selection (%),SSIM,MSE,PSNR,UQI,VIFP,Time Taken (s),Sparsity,Proximity
town7_000003.png,GO,"[0.00022, 0.95702, 0.02672, 0.01604]",RIGHT,"[8e-05, 0.4494, 0.54515, 0.00536]",True,83.0,64.84%,0.66285,369.06823,22.45974,0.97943,0.18039,0.62699,83.0,8.99746
town7_000009.png,GO,"[1e-05, 0.97296, 0.00987, 0.01717]",RIGHT,"[8e-05, 0.427, 0.50825, 0.06468]",True,57.0,44.53%,0.74601,271.06224,23.80011,0.98076,0.2546,0.29226,57.0,8.13937
town7_000010.png,GO,"[0.0, 0.97882, 0.00837, 0.01281]",RIGHT,"[4e-05, 0.29476, 0.47732, 0.22787]",True,75.0,58.59%,0.72175,356.41344,22.61126,0.97527,0.23683,0.39538,75.0,9.11186
town7_000016.png,GO,"[0.00015, 0.97784, 0.01185, 0.01016]",RIGHT,"[0.00036, 0.48325, 0.49229, 0.0241]",True,86.0,67.19%,0.68683,399.66648,22.11383,0.97685,0.17656,0.62001,86.0,8.92913
town7_000024.png,GO,"[0.00044, 0.9815, 0.01275, 0.00532]",RIGHT,"[0.00111, 0.34896, 0.37058, 0.27935]",True,92.0,71.88%,0.70363,291.84133,23.47934,0.9889,0.18975,0.6137,92.0,9.38734
town7_000027.png,GO,"[0.001, 0.96394, 0.0276, 0.00746]",RIGHT,"[0.0463, 0.3619, 0.58339, 0.00841]",True,47.0,36.72%,0.75782,218.77469,24.73083,0.99202,0.2311,0.33933,47.0,6.66714
town7_000028.png,GO,"[0.00099, 0.92098, 0.07058, 0.00746]",RIGHT,"[0.00087, 0.27568, 0.70896, 0.01449]",True,56.0,43.75%,0.75338,219.13479,24.72369,0.99192,0.23283,0.33119,56.0,7.75864
town7_000041.png,GO,"[0.00024, 0.94175, 0.04768, 0.01033]",RIGHT,"[0.00082, 0.46563, 0.51042, 0.02314]",True,83.0,64.84%,0.75442,330.29667,22.94176,0.98657,0.2349,0.38145,83.0,9.03192
town7_000044.png,GO,"[3e-05, 0.95818, 0.00818, 0.0336]",RIGHT,"[0.00015, 0.32368, 0.49412, 0.18204]",True,103.0,80.47%,0.68759,368.87297,22.46204,0.98626,0.24673,0.41004,103.0,8.30237
town7_000054.png,GO,"[0.02108, 0.94694, 0.00852, 0.02346]",STOP,"[0.61666, 0.36116, 0.01528, 0.0069]",True,113.0,88.28%,0.7614,315.83182,23.13624,0.98727,0.2555,0.50469,113.0,9.02378
town7_000066.png,LEFT,"[0.0, 0.01085, 0.0014, 0.98775]",GO,"[0.0, 0.55792, 0.0368, 0.40527]",True,33.0,25.78%,0.82624,196.32846,25.20097,0.99113,0.34236,0.45718,33.0,6.11898
town7_000067.png,LEFT,"[0.0, 0.00389, 9e-05, 0.99602]",RIGHT,"[0.0, 0.11494, 0.58043, 0.30463]",True,50.0,39.06%,0.79245,289.12797,23.5199,0.98546,0.3009,0.26802,50.0,8.3327
town7_000070.png,LEFT,"[4e-05, 0.00619, 4e-05, 0.99374]",RIGHT,"[0.00016, 0.04568, 0.63799, 0.31617]",True,91.0,71.09%,0.62665,1222.70396,17.25759,0.92402,0.17401,0.4484,91.0,13.93616
town7_000080.png,GO,"[0.0007, 0.99549, 0.00099, 0.00282]",STOP,"[0.5395, 0.45979, 5e-05, 0.00066]",True,83.0,64.84%,0.72264,268.47505,23.84176,0.97958,0.23562,0.40637,83.0,9.00997
town7_000084.png,STOP,"[0.82852, 0.1706, 0.00043, 0.00045]",GO,"[0.37403, 0.60538, 0.01798, 0.00261]",True,101.0,78.91%,0.74372,325.18357,23.00952,0.97452,0.27225,0.56205,101.0,7.75442
town7_000093.png,STOP,"[0.80803, 0.19057, 0.00062, 0.00079]",GO,"[0.48728, 0.50313, 0.00592, 0.00367]",True,84.0,65.62%,0.77252,215.0376,24.80566,0.98511,0.29193,0.42754,84.0,5.77993
town7_000101.png,STOP,"[0.75968, 0.23812, 0.00149, 0.00071]",GO,"[0.47051, 0.49193, 0.03584, 0.00172]",True,49.0,38.28%,0.77069,147.75198,26.43547,0.98965,0.30887,0.40441,49.0,3.82309
town7_000103.png,GO,"[0.07905, 0.7261, 0.19333, 0.00152]",GO,"[0.2316, 0.69551, 0.07134, 0.00155]",False,128.0,100.00%,,,,,,0.54287,,
town7_000104.png,RIGHT,"[0.0004, 0.24389, 0.75493, 0.00079]",GO,"[0.01012, 0.50205, 0.48498, 0.00285]",True,93.0,72.66%,0.74562,272.08536,23.78375,0.98296,0.27537,0.44764,93.0,4.78257
town7_000109.png,GO,"[0.0, 0.80935, 0.02073, 0.16991]",LEFT,"[1e-05, 0.42231, 0.01058, 0.5671]",True,8.0,6.25%,0.752,168.63458,25.86134,0.98797,0.25003,0.22227,8.0,3.57756
town7_000116.png,RIGHT,"[0.00071, 0.26442, 0.7335, 0.00137]",GO,"[0.00286, 0.544, 0.45009, 0.00304]",True,5.0,3.91%,0.71733,152.11154,26.30918,0.96092,0.29205,0.61392,5.0,2.37926
town7_000127.png,GO,"[0.38245, 0.59566, 0.0001, 0.0218]",STOP,"[0.51327, 0.46776, 0.0002, 0.01877]",True,9.0,7.03%,0.72332,129.32315,27.01404,0.98238,0.30887,0.31075,9.0,1.02647
town7_000128.png,STOP,"[0.55948, 0.42403, 9e-05, 0.0164]",GO,"[0.4606, 0.52214, 0.00017, 0.01708]",True,5.0,3.91%,0.72319,127.3987,27.07915,0.98286,0.30901,0.17895,5.0,0.53161
town7_000129.png,STOP,"[0.58656, 0.4046, 0.00013, 0.00871]",GO,"[0.44948, 0.53073, 0.00029, 0.0195]",True,1.0,0.78%,0.71712,128.09893,27.05535,0.98262,0.30883,0.26326,1.0,0.21625
town7_000130.png,STOP,"[0.56495, 0.41723, 0.0001, 0.01772]",GO,"[0.41339, 0.56406, 0.00014, 0.0224]",True,2.0,1.56%,0.71926,130.96237,26.95934,0.98197,0.30876,0.27629,2.0,0.26328
town7_000139.png,STOP,"[0.53714, 0.45173, 0.00011, 0.01102]",GO,"[0.40354, 0.56784, 0.00024, 0.02838]",True,1.0,0.78%,0.7303,123.74406,27.20556,0.98345,0.31463,0.29537,1.0,0.00731
town7_000140.png,STOP,"[0.56171, 0.43232, 6e-05, 0.00591]",GO,"[0.48878, 0.49068, 0.00025, 0.02029]",True,2.0,1.56%,0.72568,126.12831,27.12268,0.98239,0.30287,0.39401,2.0,0.31617
town7_000141.png,GO,"[0.37801, 0.61751, 5e-05, 0.00443]",STOP,"[0.61849, 0.37863, 8e-05, 0.0028]",True,2.0,1.56%,0.73887,108.06357,27.79401,0.98203,0.30933,0.28591,2.0,0.44883
town7_000144.png,GO,"[0.02868, 0.9396, 0.00024, 0.03149]",STOP,"[0.51703, 0.47273, 0.00021, 0.01003]",True,119.0,92.97%,0.69914,205.17609,25.00954,0.96385,0.27491,0.48676,119.0,5.39579
town7_000146.png,GO,"[0.00605, 0.95978, 0.00081, 0.03337]",STOP,"[0.49616, 0.48988, 0.00027, 0.01368]",True,124.0,96.88%,0.69641,229.95292,24.51441,0.96397,0.28012,0.44352,124.0,6.24341
town7_000154.png,LEFT,"[0.00357, 0.1347, 0.01175, 0.84997]",GO,"[0.02348, 0.51614, 0.01604, 0.44435]",True,20.0,15.62%,0.75316,97.3169,28.24892,0.97838,0.32689,0.27462,20.0,2.23894
town7_000156.png,LEFT,"[0.00379, 0.21133, 0.02353, 0.76135]",GO,"[0.01145, 0.52951, 0.02636, 0.43268]",True,4.0,3.12%,0.74435,104.79177,27.92753,0.9842,0.31477,0.26793,4.0,1.23134
town7_000174.png,GO,"[0.00033, 0.97064, 0.01533, 0.0137]",LEFT,"[0.00116, 0.42121, 0.01181, 0.56582]",True,23.0,17.97%,0.7898,109.94255,27.71915,0.98841,0.32475,0.43272,23.0,4.43493
town7_000179.png,GO,"[0.00216, 0.92962, 0.06262, 0.0056]",LEFT,"[0.00149, 0.28101, 0.15845, 0.55905]",True,32.0,25.00%,0.77482,143.09411,26.57459,0.99079,0.27299,0.27474,32.0,5.56933
town7_000183.png,GO,"[0.00072, 0.9584, 0.01377, 0.02711]",LEFT,"[0.00187, 0.46479, 0.02275, 0.51058]",True,45.0,35.16%,0.74998,196.72206,25.19227,0.98473,0.27191,0.33094,45.0,5.97255
town7_000189.png,GO,"[0.00751, 0.97165, 0.01375, 0.00709]",LEFT,"[0.00958, 0.42388, 0.03812, 0.52843]",True,36.0,28.12%,0.79814,121.47253,27.28602,0.98961,0.34091,0.3138,36.0,5.02674
town7_000190.png,GO,"[0.00446, 0.97224, 0.01601, 0.00728]",LEFT,"[0.0055, 0.32092, 0.01568, 0.6579]",True,37.0,28.91%,0.78683,128.32464,27.0477,0.99051,0.32855,0.32924,37.0,5.08382
town7_000191.png,GO,"[0.00372, 0.97588, 0.01305, 0.00736]",STOP,"[0.53817, 0.45226, 0.00016, 0.00941]",True,126.0,98.44%,0.70966,377.62742,22.36017,0.97148,0.23362,0.62498,126.0,10.45698
town7_000204.png,GO,"[0.02624, 0.96372, 0.00184, 0.0082]",STOP,"[0.58819, 0.4077, 0.00013, 0.00399]",True,116.0,90.62%,0.78564,244.24794,24.25249,0.97769,0.31,0.49108,116.0,7.98901
town7_000205.png,GO,"[0.04969, 0.93826, 0.00132, 0.01074]",STOP,"[0.49463, 0.49124, 0.00063, 0.0135]",True,47.0,36.72%,0.82608,105.47167,27.89945,0.99169,0.36479,0.3733,47.0,4.11097
town7_000215.png,GO,"[0.09467, 0.89862, 0.00266, 0.00405]",STOP,"[0.55946, 0.43556, 0.00035, 0.00463]",True,91.0,71.09%,0.71141,179.80138,25.58287,0.98759,0.24696,0.40072,91.0,7.01413
town7_000216.png,GO,"[0.00687, 0.95328, 0.03014, 0.00971]",RIGHT,"[0.00308, 0.41718, 0.56314, 0.0166]",True,19.0,14.84%,0.72682,104.25505,27.94983,0.99304,0.28088,0.23745,19.0,2.93084
town7_000218.png,GO,"[0.00179, 0.47732, 0.39857, 0.12232]",RIGHT,"[0.00133, 0.45545, 0.4809, 0.06232]",True,6.0,4.69%,0.77099,95.38052,28.33621,0.99446,0.32573,0.26908,6.0,1.64425
town7_000229.png,GO,"[0.00012, 0.99438, 0.00335, 0.00215]",RIGHT,"[0.00046, 0.44938, 0.53963, 0.01054]",True,61.0,47.66%,0.72459,350.34995,22.68578,0.97535,0.22264,0.30421,61.0,8.86165
town7_000238.png,GO,"[0.00137, 0.99275, 0.00353, 0.00235]",RIGHT,"[0.00013, 0.40386, 0.5861, 0.00992]",True,54.0,42.19%,0.7388,231.17159,24.49146,0.96531,0.26979,0.3245,54.0,7.8063
town7_000242.png,GO,"[0.00438, 0.99309, 0.00104, 0.00149]",RIGHT,"[0.00318, 0.43172, 0.56378, 0.00131]",True,54.0,42.19%,0.75383,236.69422,24.38893,0.98661,0.23618,0.34813,54.0,7.34243
town7_000246.png,GO,"[0.01853, 0.97885, 0.00087, 0.00174]",RIGHT,"[0.00278, 0.48162, 0.50918, 0.00642]",True,39.0,30.47%,0.7644,193.67969,25.25996,0.9867,0.26366,0.70927,39.0,6.35719
town7_000252.png,GO,"[0.02639, 0.95482, 0.0013, 0.0175]",LEFT,"[0.00851, 0.3143, 0.0059, 0.67129]",True,11.0,8.59%,0.78248,131.73969,26.93364,0.99247,0.28239,0.20805,11.0,4.3566
town7_000260.png,STOP,"[0.8681, 0.13175, 2e-05, 0.00013]",GO,"[0.4671, 0.52764, 0.00333, 0.00193]",True,106.0,82.81%,0.7494,342.42854,22.7851,0.98368,0.27863,0.41387,106.0,7.0695
town7_000261.png,STOP,"[0.86105, 0.13878, 3e-05, 0.00015]",GO,"[0.41926, 0.56954, 0.0066, 0.0046]",True,65.0,50.78%,0.76389,298.29773,23.3843,0.98581,0.29777,0.37693,65.0,6.06266
