Image File,Replaced Feature Indices,Original Latent Values,Replaced (Median) Values
town7_000016.png,"127, 25, 42, 88, 45, 16, 110, 0, 87, 19, 68, 35, 92, 73, 3, 31, 98, 118, 114, 20, 27, 32, 124, 5, 28, 46, 106, 57, 13, 18, 14, 11, 123, 55, 58, 34, 90, 103, 91, 117, 29, 49, 15, 26, 75, 47, 94, 78, 22, 54, 62, 125, 115, 43, 23","0.87043226, 0.4277429, 0.16004306, 0.26717535, 0.6896752, 0.22518414, -0.6756209, 0.6515015, 0.4545282, -0.9908549, 0.062004358, 1.7439216, 1.3954864, 1.0727443, 2.23416, 1.3396688, 0.7721655, 1.6648731, 0.43210298, -0.8284762, 0.43658543, -1.1644505, 1.6411188, 2.022728, -1.2436733, -1.2711164, -0.71784717, 1.998442, 0.43973583, -0.33632162, 1.7996082, -0.5279007, -2.0273745, 1.2951581, -1.8192241, -0.7957858, -0.74670064, 1.3404657, -0.5806831, -0.79399836, -1.029494, 1.1278365, -1.6739902, 3.1581535, 0.8845498, 0.38618323, -0.9432782, -0.21701854, -0.34384203, 0.042494707, -0.61543345, 0.2927091, -0.10432236, 2.3754346, -0.085886195","-0.65790457, -0.15588233, -0.4263797, -0.28094766, -0.375064, 0.35479787, -0.69423443, -0.10394335, -0.16165099, 1.109619, -0.72544944, -0.14945891, 0.18834338, 0.7272418, -0.15164003, 0.11364317, 0.32579216, -0.37865162, 0.15379539, -0.094660535, -0.3174376, -0.00081614964, -0.12082182, -0.2609601, -0.013912097, -0.22312966, 0.10639665, 0.02738389, -0.46999565, -0.48548484, -0.47592828, -0.12836362, -0.4034174, 0.1364678, -0.1265516, -0.68002987, 0.010356359, 0.1530613, 0.21297407, 0.09155205, 0.86721164, 0.20886245, -0.4501086, -0.16939524, 0.6283645, -0.30911452, -0.2617772, -0.0933437, -0.7233548, -1.0197315, -0.5546942, 0.1854067, -0.25953263, 0.016164623, 0.09227347"
town7_000024.png,"31, 16, 87, 45, 92, 114, 25, 127, 118, 19, 98, 42, 13, 68, 18, 106, 0, 3, 5","0.3235242, 1.4639343, -0.19037172, 1.7149314, 1.8506573, -0.5127716, 0.1729801, 1.0552642, 1.9874995, 0.27849975, 0.5165248, 0.6886625, 0.50973976, 0.16256821, -0.3867345, -0.3856501, 1.557118, 2.1486518, 2.7295766","0.11364317, 0.35479787, -0.16165099, -0.375064, 0.18834338, 0.15379539, -0.15588233, -0.65790457, -0.37865162, 1.109619, 0.32579216, -0.4263797, -0.46999565, -0.72544944, -0.48548484, 0.10639665, -0.10394335, -0.15164003, -0.2609601"
town7_000027.png,"31, 19, 98, 45, 16, 25, 127, 87, 92, 68, 18, 5, 13, 3, 106, 118","-0.18452807, 0.11405523, 0.30368596, 0.88477606, 0.4735049, 0.41898194, 0.7534487, 0.36912507, 2.2422137, -0.2972744, -0.8042883, 2.0671027, 0.7840128, 1.606209, -0.17983001, 1.9163563","0.11364317, 1.109619, 0.32579216, -0.375064, 0.35479787, -0.15588233, -0.65790457, -0.16165099, 0.18834338, -0.72544944, -0.48548484, -0.2609601, -0.46999565, -0.15164003, 0.10639665, -0.37865162"
town7_000028.png,"31, 45, 19, 87, 18, 98, 16, 5, 25, 78, 68, 118, 42, 13, 92, 127, 73, 49, 106, 55, 114, 27, 90, 57, 117","-0.29107553, 1.4054536, 0.24970683, 0.055514596, -0.35984874, -0.12436633, 0.037222683, 2.3637197, 1.0926025, -0.7919074, -0.47364223, 2.0007422, 0.95580506, 0.53169894, 1.5330888, 0.55685717, 0.39375824, 0.88335025, -0.74956733, 0.5158613, -0.8908946, 1.3041292, -0.98899424, 2.097193, 0.6213821","0.11364317, -0.375064, 1.109619, -0.16165099, -0.48548484, 0.32579216, 0.35479787, -0.2609601, -0.15588233, -0.0933437, -0.72544944, -0.37865162, -0.4263797, -0.46999565, 0.18834338, -0.65790457, 0.7272418, 0.20886245, 0.10639665, 0.1364678, 0.15379539, -0.3174376, 0.010356359, 0.02738389, 0.09155205"
town7_000041.png,"19, 87, 127, 88, 16, 35, 25, 92, 110, 0, 45, 98, 55, 49, 31, 73, 34, 46, 26, 93, 3, 118, 27, 18, 5","1.0839777, 0.93405074, 1.2493087, -0.51485324, 2.1954546, 1.0270888, -0.3691519, 0.45643246, -0.9036441, 1.9445987, 1.6305512, 1.0813352, 0.7327133, 1.4477245, -1.0015819, -0.6361698, -2.1988995, -2.3990288, 1.3240545, -0.6824925, 1.8146278, 2.305584, 1.0414225, 1.0033507, 3.5812216","1.109619, -0.16165099, -0.65790457, -0.28094766, 0.35479787, -0.14945891, -0.15588233, 0.18834338, -0.69423443, -0.10394335, -0.375064, 0.32579216, 0.1364678, 0.20886245, 0.11364317, 0.7272418, -0.68002987, -0.22312966, -0.16939524, 0.19767109, -0.15164003, -0.37865162, -0.3174376, -0.48548484, -0.2609601"
town7_000044.png,"16, 19, 87, 31, 20, 0, 92, 88, 110, 25, 45, 35, 127, 3, 98, 91, 26, 49, 55, 73, 75, 94, 28, 42, 114, 68, 13, 40, 106, 115, 117, 34, 4, 24, 77, 43, 93, 46, 27, 62, 22, 47, 123, 8, 18, 32, 78, 5, 125, 118","0.821009, 0.5655221, 0.7886151, -0.1418336, -0.0066604316, 0.8172751, 1.5808653, 1.0089307, -2.1656902, 0.19274974, 1.2208605, 1.0122335, -0.32062194, 1.1200486, 0.33278307, -0.62530524, 2.2198486, 1.566021, 0.43926042, 0.9795534, 1.6721948, 1.0816648, -1.6178204, -0.51336074, -1.9308426, -0.71517944, 0.65970075, -0.9566834, 0.8375204, 0.5046855, 2.1248875, -2.281827, -1.0576003, -2.1563823, 2.6862595, 1.1694719, -0.6482576, -2.5307767, 0.96979797, -1.584237, -1.1273465, 1.1789135, -1.1346723, 0.72253716, 0.4013801, 0.030460041, -0.6611892, 2.8332386, 1.681126, 2.841837","0.35479787, 1.109619, -0.16165099, 0.11364317, -0.094660535, -0.10394335, 0.18834338, -0.28094766, -0.69423443, -0.15588233, -0.375064, -0.14945891, -0.65790457, -0.15164003, 0.32579216, 0.21297407, -0.16939524, 0.20886245, 0.1364678, 0.7272418, 0.6283645, -0.2617772, -0.013912097, -0.4263797, 0.15379539, -0.72544944, -0.46999565, -0.44911847, 0.10639665, -0.25953263, 0.09155205, -0.68002987, 0.55283475, -0.36390463, 0.3301296, 0.016164623, 0.19767109, -0.22312966, -0.3174376, -0.5546942, -0.7233548, -0.30911452, -0.4034174, 0.2050743, -0.48548484, -0.00081614964, -0.0933437, -0.2609601, 0.1854067, -0.37865162"
town7_000054.png,"98, 31, 32, 118, 25, 45, 73, 92, 19, 5, 49, 18, 36, 13, 106, 117, 123, 3, 4, 16, 26","1.0309238, -0.48739213, -0.34221584, 3.3875859, 0.14231408, -0.5813775, 0.16595918, 0.24234918, 0.08851312, 1.9599259, -0.1963809, 0.6131988, 0.060973078, 0.9575524, 0.043798797, 0.5602644, -1.0632945, 0.9567407, 0.42464006, 0.28512347, 1.4664998","0.32579216, 0.11364317, -0.00081614964, -0.37865162, -0.15588233, -0.375064, 0.7272418, 0.18834338, 1.109619, -0.2609601, 0.20886245, -0.48548484, -0.7332276, -0.46999565, 0.10639665, 0.09155205, -0.4034174, -0.15164003, 0.55283475, 0.35479787, -0.16939524"
town7_000103.png,"13, 25, 19","0.18891285, 0.54211843, 3.237968","-0.46999565, -0.15588233, 1.109619"
town7_000116.png,"13, 90","-0.60539633, 1.6067235","-0.46999565, 0.010356359"
town7_000127.png,"13, 31, 78","-0.95697844, -0.28630868, -1.6515207","-0.46999565, 0.11364317, -0.0933437"
town7_000128.png,"13, 31, 78","-1.1426526, -0.3829294, -1.7782941","-0.46999565, 0.11364317, -0.0933437"
town7_000129.png,"13, 31, 78","-0.8618913, -0.38536042, -1.5742571","-0.46999565, 0.11364317, -0.0933437"
town7_000130.png,"13, 31, 78","-1.2067418, -0.16956453, -1.8957719","-0.46999565, 0.11364317, -0.0933437"
town7_000139.png,"13, 31, 78","-1.0314198, -0.2765928, -1.5887666","-0.46999565, 0.11364317, -0.0933437"
town7_000140.png,"13, 31, 78","-1.2836341, -0.33277977, -1.6436611","-0.46999565, 0.11364317, -0.0933437"
town7_000141.png,,,
town7_000144.png,"13, 31, 78, 32, 90, 114, 4, 19, 117, 25, 92, 24, 98, 9, 18, 125","-0.94053894, 0.018116718, -1.7252115, 0.53996265, 1.6836095, -0.10138804, 1.4780709, 0.32918143, -1.5798137, 0.4413631, -0.76565963, 0.41458383, -0.52103436, 1.7704855, 1.9327493, 1.1170564","-0.46999565, 0.11364317, -0.0933437, -0.00081614964, 0.010356359, 0.15379539, 0.55283475, 1.109619, 0.09155205, -0.15588233, 0.18834338, -0.36390463, 0.32579216, 0.6035311, -0.48548484, 0.1854067"
town7_000146.png,"31, 13, 32, 114, 78, 90, 92, 125, 9, 73, 4, 25, 19, 98, 57, 16, 68, 106, 117, 18, 62, 3, 26, 56, 54, 24, 88, 87, 83, 29, 6, 101, 45, 118, 1, 82, 20, 123, 127, 22, 71, 103, 7, 110, 94, 50, 49, 46","-0.4656046, -0.8689624, 1.2988778, 0.036051426, -2.1943777, 1.3951128, -1.123365, 1.8062967, 1.761988, 0.46103024, 0.7014978, -0.172819, -0.040359244, 0.2639717, 1.3368077, 1.5319725, 2.0061865, -0.4909967, -0.6683656, 1.7218571, -2.2313058, -0.33166167, -1.1034031, -1.2360029, -0.6016961, 0.9124927, 1.36214, 0.5263201, -0.77218676, 2.2647114, 1.4813488, 2.4959688, -0.52997977, 0.6610655, 1.835827, -0.39009443, -1.6791182, 0.85347897, -1.6751974, 0.24145515, -1.4746276, -1.0513977, 0.1661806, 1.0734586, 0.75519973, 3.2448559, -1.085047, 2.654064","0.11364317, -0.46999565, -0.00081614964, 0.15379539, -0.0933437, 0.010356359, 0.18834338, 0.1854067, 0.6035311, 0.7272418, 0.55283475, -0.15588233, 1.109619, 0.32579216, 0.02738389, 0.35479787, -0.72544944, 0.10639665, 0.09155205, -0.48548484, -0.5546942, -0.15164003, -0.16939524, -0.4149109, -1.0197315, -0.36390463, -0.28094766, -0.16165099, -0.67913777, 0.86721164, 0.59702635, -0.16187233, -0.375064, -0.37865162, 0.005797453, 0.26073596, -0.094660535, -0.4034174, -0.65790457, -0.7233548, -0.16604048, 0.1530613, 0.11623812, -0.69423443, -0.2617772, 0.12891746, 0.20886245, -0.22312966"
town7_000154.png,"13, 31, 78, 32, 114, 4, 98, 90, 24, 25, 68, 117, 16, 19, 18, 92, 82, 57, 9, 106, 20, 45, 125, 54, 73, 118, 87, 26, 103, 56, 62, 29, 123, 49, 127, 71, 3, 88, 101, 14, 0, 46, 50, 1, 11, 22, 66, 8, 28","-0.56847614, -0.6631367, -1.8793947, 1.4379158, -0.42419347, 1.7143962, -0.7922747, 1.3637477, 1.4666306, -0.54559433, 1.8508689, -0.9102063, 1.7914006, -0.1492852, 1.4804302, -1.0123352, 0.453626, 1.3387445, 1.0806801, -0.23476472, -1.8533895, -0.99229366, 0.6629529, -0.48384178, 0.624179, 0.44411507, 1.3940847, -1.9630616, -0.29560214, -1.6190183, -2.522738, 2.132052, 1.4092032, -0.7020156, -2.3256824, -0.5461879, -0.117795736, 1.2378722, 1.9309615, -3.3259175, 1.650064, 2.9383206, 3.115326, 0.7949281, -1.3602356, -0.33609653, -0.98895776, 1.0580931, 3.3555126","-0.46999565, 0.11364317, -0.0933437, -0.00081614964, 0.15379539, 0.55283475, 0.32579216, 0.010356359, -0.36390463, -0.15588233, -0.72544944, 0.09155205, 0.35479787, 1.109619, -0.48548484, 0.18834338, 0.26073596, 0.02738389, 0.6035311, 0.10639665, -0.094660535, -0.375064, 0.1854067, -1.0197315, 0.7272418, -0.37865162, -0.16165099, -0.16939524, 0.1530613, -0.4149109, -0.5546942, 0.86721164, -0.4034174, 0.20886245, -0.65790457, -0.16604048, -0.15164003, -0.28094766, -0.16187233, -0.47592828, -0.10394335, -0.22312966, 0.12891746, 0.005797453, -0.12836362, -0.7233548, -0.4869386, 0.2050743, -0.013912097"
