Image File,Prediction (Before Masking),Confidence (Before Masking),Prediction (After Masking),Confidence (After Masking),Counterfactual Found,Feature Selection (%),Selected Features,SSIM,MSE,PSNR,UQI,VIFP,Time Taken (s)
town7_000003.png,GO,"[0.23718, 0.76282]",GO,N/A,False,,,,,,,,0.38052
town7_000009.png,GO,"[0.21004, 0.78996]",GO,N/A,False,,,,,,,,0.20431
town7_000010.png,GO,"[0.20816, 0.79184]",GO,N/A,False,,,,,,,,0.13006
town7_000016.png,GO,"[0.23292, 0.76708]",STOP,"0.5024766, 0.4975234",True,80.00%,"127, 25, 42, 88, 45, 16, 110, 0, 87, 19, 68, 35, 92, 73, 3, 31, 98, 118, 114, 20, 27, 32, 124, 5, 28, 46, 106, 57, 13, 18, 14, 11, 123, 55, 58, 34, 90, 103, 91, 117, 29, 49, 15, 26, 75, 47, 94, 78, 22, 54, 62, 125, 115, 43, 23",0.6928300261497498,0.00679,21.68419,0.97791,0.2375,0.44866
town7_000024.png,GO,"[0.24448, 0.75552]",STOP,"0.6105905, 0.3894095",True,29.00%,"31, 16, 87, 45, 92, 114, 25, 127, 118, 19, 98, 42, 13, 68, 18, 106, 0, 3, 5",0.7450299859046936,0.00298,25.26105,0.99302,0.35492,0.43093
town7_000027.png,GO,"[0.2859, 0.7141]",STOP,"0.5031519, 0.4968481",True,26.00%,"31, 19, 98, 45, 16, 25, 127, 87, 92, 68, 18, 5, 13, 3, 106, 118",0.7575700283050537,0.00278,25.5607,0.99384,0.39956,0.43358
town7_000028.png,GO,"[0.2715, 0.7285]",STOP,"0.5056659, 0.4943341",True,39.00%,"31, 45, 19, 87, 18, 98, 16, 5, 25, 78, 68, 118, 42, 13, 92, 127, 73, 49, 106, 55, 114, 27, 90, 57, 117",0.7616299986839294,0.00276,25.59724,0.99393,0.37121,0.39903
town7_000041.png,GO,"[0.26452, 0.73548]",STOP,"0.56188667, 0.43811336",True,37.00%,"19, 87, 127, 88, 16, 35, 25, 92, 110, 0, 45, 98, 55, 49, 31, 73, 34, 46, 26, 93, 3, 118, 27, 18, 5",0.7768599987030029,0.00343,24.65177,0.99241,0.31922,0.40243
town7_000044.png,GO,"[0.28874, 0.71126]",STOP,"0.5992967, 0.4007033",True,73.00%,"16, 19, 87, 31, 20, 0, 92, 88, 110, 25, 45, 35, 127, 3, 98, 91, 26, 49, 55, 73, 75, 94, 28, 42, 114, 68, 13, 40, 106, 115, 117, 34, 4, 24, 77, 43, 93, 46, 27, 62, 22, 47, 123, 8, 18, 32, 78, 5, 125, 118",0.6610999703407288,0.00713,21.47214,0.98455,0.2012,0.4418
town7_000054.png,GO,"[0.34343, 0.65657]",STOP,"0.5024887, 0.4975113",True,34.00%,"98, 31, 32, 118, 25, 45, 73, 92, 19, 5, 49, 18, 36, 13, 106, 117, 123, 3, 4, 16, 26",0.7919700145721436,0.00299,25.24075,0.99258,0.45095,0.39393
town7_000066.png,GO,"[0.1233, 0.8767]",GO,N/A,False,,,,,,,,0.13111
town7_000067.png,GO,"[0.15615, 0.84385]",GO,N/A,False,,,,,,,,0.13067
town7_000070.png,GO,"[0.16568, 0.83432]",GO,N/A,False,,,,,,,,0.13165
town7_000080.png,GO,"[0.31658, 0.68342]",GO,N/A,False,,,,,,,,0.13083
town7_000084.png,STOP,"[0.89261, 0.10739]",STOP,N/A,False,,,,,,,,0.12908
town7_000093.png,STOP,"[0.8743, 0.1257]",STOP,N/A,False,,,,,,,,0.13259
town7_000101.png,STOP,"[0.78796, 0.21204]",STOP,N/A,False,,,,,,,,0.13013
town7_000103.png,GO,"[0.26218, 0.73782]",STOP,"0.5281684, 0.4718316",True,5.00%,"13, 25, 19",0.7563999891281128,0.00256,25.91872,0.99023,0.48262,0.40691
town7_000104.png,GO,"[0.17637, 0.82363]",GO,N/A,False,,,,,,,,0.10341
town7_000109.png,GO,"[0.121, 0.879]",GO,N/A,False,,,,,,,,0.13266
town7_000116.png,GO,"[0.40404, 0.59596]",STOP,"0.53548807, 0.4645119",True,3.00%,"13, 90",0.7198100090026855,0.00219,26.59984,0.966,0.58049,0.40056
town7_000127.png,STOP,"[0.64355, 0.35645]",GO,"0.46134558, 0.53865445",True,5.00%,"13, 31, 78",0.7226700186729431,0.002,26.99159,0.98263,0.49097,0.48522
town7_000128.png,STOP,"[0.63885, 0.36115]",GO,"0.4857956, 0.51420444",True,5.00%,"13, 31, 78",0.7237899899482727,0.00201,26.96852,0.98279,0.49853,0.37686
town7_000129.png,STOP,"[0.63635, 0.36365]",GO,"0.4931886, 0.50681144",True,5.00%,"13, 31, 78",0.7167400121688843,0.00206,26.85938,0.98207,0.48716,0.37656
town7_000130.png,STOP,"[0.57273, 0.42727]",GO,"0.42601097, 0.57398903",True,5.00%,"13, 31, 78",0.7157099843025208,0.00207,26.8479,0.98197,0.47022,0.37308
town7_000139.png,STOP,"[0.61705, 0.38295]",GO,"0.4879026, 0.5120974",True,5.00%,"13, 31, 78",0.7257599830627441,0.00201,26.97355,0.98265,0.47788,0.377
town7_000140.png,STOP,"[0.70444, 0.29556]",GO,"0.44358057, 0.55641943",True,5.00%,"13, 31, 78",0.7236999869346619,0.00198,27.03414,0.98201,0.48755,0.39033
town7_000141.png,GO,"[0.49831, 0.50169]",STOP,"0.6173237, 0.3826763",True,1.00%,,0.737820029258728,0.00167,27.77515,0.9829,0.51152,0.39091
town7_000144.png,GO,"[0.44, 0.56]",STOP,"0.506245, 0.49375492",True,24.00%,"13, 31, 78, 32, 90, 114, 4, 19, 117, 25, 92, 24, 98, 9, 18, 125",0.7228999733924866,0.00191,27.19939,0.97668,0.47558,0.39905
town7_000146.png,GO,"[0.32673, 0.67327]",STOP,"0.51173127, 0.4882687",True,70.00%,"31, 13, 32, 114, 78, 90, 92, 125, 9, 73, 4, 25, 19, 98, 57, 16, 68, 106, 117, 18, 62, 3, 26, 56, 54, 24, 88, 87, 83, 29, 6, 101, 45, 118, 1, 82, 20, 123, 127, 22, 71, 103, 7, 110, 94, 50, 49, 46",0.6554800271987915,0.00664,21.77702,0.91289,0.29791,0.40195
town7_000154.png,GO,"[0.33547, 0.66453]",STOP,"0.55764526, 0.44235474",True,74.00%,"13, 31, 78, 32, 114, 4, 98, 90, 24, 25, 68, 117, 16, 19, 18, 92, 82, 57, 9, 106, 20, 45, 125, 54, 73, 118, 87, 26, 103, 56, 62, 29, 123, 49, 127, 71, 3, 88, 101, 14, 0, 46, 50, 1, 11, 22, 66, 8, 28",0.6310300230979919,0.01016,19.93182,0.88059,0.2669,0.3806
town7_000156.png,GO,"[0.27922, 0.72078]",GO,N/A,False,,,,,,,,0.12036
town7_000174.png,GO,"[0.32121, 0.67879]",GO,N/A,False,,,,,,,,0.12092
town7_000179.png,GO,"[0.29515, 0.70485]",GO,N/A,False,,,,,,,,0.12166
town7_000183.png,GO,"[0.32677, 0.67323]",GO,N/A,False,,,,,,,,0.11739
town7_000189.png,GO,"[0.32233, 0.67767]",STOP,"0.51018244, 0.4898176",True,68.00%,"13, 25, 45, 68, 87, 118, 114, 19, 18, 92, 90, 73, 32, 124, 127, 4, 31, 8, 57, 75, 78, 98, 110, 5, 26, 16, 20, 117, 42, 54, 0, 15, 27, 55, 123, 3, 94, 56, 35, 125, 106, 11, 9, 71, 69, 103, 49, 88",0.7658399939537048,0.00542,22.65846,0.97375,0.36968,0.39743
town7_000190.png,GO,"[0.29441, 0.70559]",GO,N/A,False,,,,,,,,0.18821
town7_000191.png,GO,"[0.27597, 0.72403]",STOP,"0.5008963, 0.4991037",True,100.00%,"45, 25, 13, 114, 31, 73, 16, 68, 78, 19, 0, 87, 92, 18, 32, 42, 35, 20, 75, 106, 62, 124, 127, 4, 118, 56, 90, 8, 93, 117, 94, 110, 57, 98, 5, 26, 101, 28, 123, 46, 27, 88, 24, 54, 55, 91, 34, 1, 3, 22, 11, 102, 40, 58, 49, 77, 47, 15, 37, 41, 9, 120, 29, 69, 50, 71, 125, 100, 14, 67, 103, 7, 36, 82",0.727400004863739,0.00932,20.3056,0.96518,0.30464,0.42238
town7_000204.png,GO,"[0.33653, 0.66347]",GO,N/A,False,,,,,,,,0.13731
