Image File,Prediction (Before Masking),Confidence (Before Masking),Prediction (After Masking),Confidence (After Masking),Counterfactual Found,Grid Size,Grid Position,SSIM,MSE,PSNR,UQI,VIFP,Objects Detected,Time Taken (s)
town7_000003.png,GO,"0.23786, 0.76214",GO,"0.23786, 0.76214",False,,,,,,,,,0.65567
town7_000009.png,GO,"0.20928, 0.79072",GO,"0.20928, 0.79072",False,,,,,,,,,0.09687
town7_000010.png,GO,"0.21182, 0.78818",GO,"0.21742, 0.78258",False,"(118, 25, 122, 28)","(118, 25, 122, 28)",,,,,,bird,1.43902
town7_000016.png,GO,"0.23982, 0.76018",GO,"0.23982, 0.76018",False,,,,,,,,,0.10678
town7_000024.png,GO,"0.23685, 0.76315",GO,"0.26519, 0.73481",False,"(81, 39, 91, 43)","(81, 39, 91, 43)",,,,,,boat,0.09123
town7_000027.png,GO,"0.27005, 0.72995",GO,"0.30247, 0.69753",False,"(82, 39, 93, 44)","(82, 39, 93, 44)",,,,,,boat,0.09596
town7_000028.png,GO,"0.26813, 0.73187",GO,"0.3021, 0.6979",False,"(82, 40, 94, 44)","(82, 40, 94, 44)",,,,,,boat,0.07909
town7_000041.png,GO,"0.25089, 0.74911",GO,"0.25089, 0.74911",False,,,,,,,,,0.09535
town7_000044.png,GO,"0.29549, 0.70451",GO,"0.29549, 0.70451",False,,,,,,,,,0.09573
town7_000054.png,GO,"0.34146, 0.65854",GO,"0.33078, 0.66922",False,"(129, 43, 135, 51)","(129, 43, 135, 51)",,,,,,person,0.06867
town7_000066.png,GO,"0.12508, 0.87492",GO,"0.12508, 0.87492",False,,,,,,,,,0.04358
town7_000067.png,GO,"0.16027, 0.83973",GO,"0.16027, 0.83973",False,,,,,,,,,0.08396
town7_000070.png,GO,"0.16498, 0.83502",GO,"0.16498, 0.83502",False,,,,,,,,,0.07831
town7_000080.png,GO,"0.33101, 0.66899",GO,"0.35888, 0.64112",False,"(100, 23, 118, 40)","(100, 23, 118, 40)",,,,,,stop sign,0.04964
town7_000084.png,STOP,"0.90342, 0.09658",STOP,"0.90342, 0.09658",False,,,,,,,,,0.07144
town7_000093.png,STOP,"0.87427, 0.12573",STOP,"0.87427, 0.12573",False,,,,,,,,,0.06487
town7_000101.png,STOP,"0.78807, 0.21193",STOP,"0.78807, 0.21193",False,,,,,,,,,0.11926
town7_000103.png,GO,"0.23296, 0.76704",GO,"0.23296, 0.76704",False,,,,,,,,,0.05097
town7_000104.png,GO,"0.18637, 0.81363",GO,"0.18637, 0.81363",False,,,,,,,,,0.13129
town7_000109.png,GO,"0.12916, 0.87084",GO,"0.12916, 0.87084",False,,,,,,,,,0.117
town7_000127.png,STOP,"0.67622, 0.32378",STOP,"0.67622, 0.32378",False,,,,,,,,,0.1102
town7_000128.png,STOP,"0.68149, 0.31851",STOP,"0.68149, 0.31851",False,,,,,,,,,0.07889
town7_000129.png,STOP,"0.61211, 0.38789",STOP,"0.61211, 0.38789",False,,,,,,,,,0.12421
town7_000130.png,STOP,"0.55746, 0.44254",STOP,"0.55746, 0.44254",False,,,,,,,,,0.08212
town7_000139.png,STOP,"0.59677, 0.40323",STOP,"0.59677, 0.40323",False,,,,,,,,,0.06902
town7_000140.png,STOP,"0.64472, 0.35528",STOP,"0.64472, 0.35528",False,,,,,,,,,0.10356
town7_000144.png,GO,"0.48066, 0.51934",GO,"0.48066, 0.51934",False,,,,,,,,,0.10986
town7_000146.png,GO,"0.33538, 0.66462",GO,"0.33538, 0.66462",False,,,,,,,,,0.08731
