Image File,Prediction (Before Masking),Confidence (Before Masking),Prediction (After Masking),Confidence (After Masking),Counterfactual Found,Grid Size,Grid Position,SSIM,MSE,PSNR,UQI,VIFP,Objects Detected,Time Taken (s),Sparsity,Proximity
town7_000003.png,GO,"9e-05, 0.97609, 0.01403, 0.0098",GO,"9e-05, 0.97609, 0.01403, 0.0098",False,,,,,,,,,0.10882,,
town7_000009.png,GO,"1e-05, 0.98139, 0.0077, 0.0109",GO,"1e-05, 0.98139, 0.0077, 0.0109",False,,,,,,,,,0.0106,,
town7_000010.png,GO,"0.0, 0.9819, 0.00619, 0.01191",GO,"0.0, 0.9614, 0.01156, 0.02703",False,,,,,,,,,0.28965,,
town7_000016.png,GO,"0.00012, 0.98059, 0.01187, 0.00742",GO,"0.00012, 0.98059, 0.01187, 0.00742",False,,,,,,,,,0.00909,,
town7_000024.png,GO,"0.00072, 0.97626, 0.01321, 0.00981",GO,"0.00736, 0.93349, 0.02024, 0.03891",False,,,,,,,,,0.01256,,
town7_000027.png,GO,"0.001, 0.95482, 0.03661, 0.00756",GO,"0.00506, 0.84498, 0.10005, 0.04991",False,,,,,,,,,0.01253,,
town7_000028.png,GO,"0.00053, 0.94762, 0.04468, 0.00717",GO,"0.0017, 0.84227, 0.14157, 0.01446",False,,,,,,,,,0.01233,,
town7_000041.png,GO,"0.00029, 0.94653, 0.04533, 0.00785",GO,"0.00029, 0.94653, 0.04533, 0.00785",False,,,,,,,,,0.01049,,
town7_000044.png,GO,"4e-05, 0.96927, 0.00583, 0.02486",GO,"4e-05, 0.96927, 0.00583, 0.02486",False,,,,,,,,,0.00798,,
town7_000054.png,GO,"0.02344, 0.90875, 0.03184, 0.03597",GO,"0.00982, 0.78821, 0.0393, 0.16267",False,,,,,,,,,0.01246,,
town7_000066.png,LEFT,"0.0, 0.01462, 0.00092, 0.98446",LEFT,"0.0, 0.01462, 0.00092, 0.98446",False,,,,,,,,,0.00857,,
town7_000067.png,LEFT,"0.0, 0.00257, 3e-05, 0.9974",LEFT,"0.0, 0.00257, 3e-05, 0.9974",False,,,,,,,,,0.00912,,
town7_000070.png,LEFT,"3e-05, 0.00721, 3e-05, 0.99273",LEFT,"3e-05, 0.00721, 3e-05, 0.99273",False,,,,,,,,,0.00942,,
town7_000080.png,GO,"0.00118, 0.99525, 0.00077, 0.0028",GO,"0.01233, 0.97194, 0.00174, 0.01399",False,,,,,,,,,0.01231,,
town7_000084.png,STOP,"0.83885, 0.16039, 0.00029, 0.00048",STOP,"0.83885, 0.16039, 0.00029, 0.00048",False,,,,,,,,,0.00903,,
town7_000093.png,STOP,"0.82947, 0.16929, 0.00066, 0.00058",STOP,"0.82947, 0.16929, 0.00066, 0.00058",False,,,,,,,,,0.00935,,
town7_000101.png,STOP,"0.75293, 0.24426, 0.00229, 0.00053",STOP,"0.75293, 0.24426, 0.00229, 0.00053",False,,,,,,,,,0.00895,,
town7_000103.png,GO,"0.04239, 0.74509, 0.21106, 0.00146",GO,"0.04239, 0.74509, 0.21106, 0.00146",False,,,,,,,,,0.00845,,
town7_000104.png,RIGHT,"0.00059, 0.25556, 0.74287, 0.00098",RIGHT,"0.00059, 0.25556, 0.74287, 0.00098",False,,,,,,,,,0.00945,,
town7_000109.png,GO,"0.0, 0.82235, 0.0233, 0.15434",GO,"0.0, 0.82235, 0.0233, 0.15434",False,,,,,,,,,0.00878,,
town7_000116.png,RIGHT,"0.0006, 0.21637, 0.78127, 0.00175",RIGHT,"0.00014, 0.14032, 0.85815, 0.00139",False,,,,,,,,,0.01223,,
town7_000127.png,STOP,"0.49833, 0.47927, 0.00017, 0.02223",STOP,"0.49833, 0.47927, 0.00017, 0.02223",False,,,,,,,,,0.00921,,
town7_000128.png,STOP,"0.55142, 0.43836, 6e-05, 0.01017",STOP,"0.55142, 0.43836, 6e-05, 0.01017",False,,,,,,,,,0.0093,,
town7_000129.png,STOP,"0.59984, 0.38787, 0.00012, 0.01216",STOP,"0.59984, 0.38787, 0.00012, 0.01216",False,,,,,,,,,0.0098,,
town7_000130.png,STOP,"0.55725, 0.42786, 0.00016, 0.01473",STOP,"0.55725, 0.42786, 0.00016, 0.01473",False,,,,,,,,,0.00907,,
town7_000139.png,STOP,"0.53865, 0.4427, 0.00019, 0.01846",STOP,"0.53865, 0.4427, 0.00019, 0.01846",False,,,,,,,,,0.00904,,
town7_000140.png,GO,"0.4139, 0.57403, 0.0001, 0.01197",GO,"0.4139, 0.57403, 0.0001, 0.01197",False,,,,,,,,,0.00857,,
town7_000141.png,GO,"0.31899, 0.67208, 0.0001, 0.00883",GO,"0.31899, 0.67208, 0.0001, 0.00883",False,,,,,,,,,0.00898,,
town7_000144.png,GO,"0.02974, 0.92397, 0.00035, 0.04594",GO,"0.02974, 0.92397, 0.00035, 0.04594",False,,,,,,,,,0.01024,,
town7_000146.png,GO,"0.00494, 0.9257, 0.00149, 0.06787",GO,"0.00494, 0.9257, 0.00149, 0.06787",False,,,,,,,,,0.00999,,
town7_000154.png,LEFT,"0.00475, 0.14228, 0.01419, 0.83879",LEFT,"0.00475, 0.14228, 0.01419, 0.83879",False,,,,,,,,,0.01034,,
