Image File,Prediction (Before Masking),Confidence (Before Masking),Prediction (After Masking),Confidence (After Masking),Counterfactual Found,Grid Size,Grid Position,SSIM,MSE,PSNR,UQI,VIFP,Objects Detected,Time Taken (s)
town7_000003.png,GO,"[0.23718, 0.76282]",GO,N/A,False,N/A,N/A,,,,,,None,0.65708
town7_000009.png,GO,"[0.21004, 0.78996]",GO,N/A,False,N/A,N/A,,,,,,None,0.00988
town7_000010.png,GO,"[0.20816, 0.79184]",GO,"0.21337233, 0.78662765",False,"(4, 3)","(118, 25)",,,,,,bird,0.36256
town7_000016.png,GO,"[0.23292, 0.76708]",GO,N/A,False,N/A,N/A,,,,,,None,0.00868
town7_000024.png,GO,"[0.24448, 0.75552]",GO,"0.22420043, 0.77579963",False,"(10, 4)","(81, 39)",,,,,,boat,0.01079
town7_000027.png,GO,"[0.2859, 0.7141]",GO,"0.27177498, 0.72822505",False,"(11, 5)","(82, 39)",,,,,,boat,0.01085
town7_000028.png,GO,"[0.2715, 0.7285]",GO,"0.268228, 0.73177207",False,"(12, 4)","(82, 40)",,,,,,boat,0.01121
town7_000041.png,GO,"[0.26452, 0.73548]",GO,N/A,False,N/A,N/A,,,,,,None,0.00835
town7_000044.png,GO,"[0.28874, 0.71126]",GO,N/A,False,N/A,N/A,,,,,,None,0.0083
town7_000054.png,GO,"[0.34343, 0.65657]",GO,"0.33892453, 0.6610755",False,"(6, 8)","(129, 43)",,,,,,person,0.01023
town7_000066.png,GO,"[0.1233, 0.8767]",GO,N/A,False,N/A,N/A,,,,,,None,0.00865
town7_000067.png,GO,"[0.15615, 0.84385]",GO,N/A,False,N/A,N/A,,,,,,None,0.00819
town7_000070.png,GO,"[0.16568, 0.83432]",GO,N/A,False,N/A,N/A,,,,,,None,0.00776
town7_000080.png,GO,"[0.31658, 0.68342]",GO,"0.26922518, 0.7307748",False,"(18, 17)","(100, 23)",,,,,,stop sign,0.01125
town7_000084.png,STOP,"[0.89261, 0.10739]",STOP,N/A,False,N/A,N/A,,,,,,None,0.00817
town7_000093.png,STOP,"[0.8743, 0.1257]",STOP,N/A,False,N/A,N/A,,,,,,None,0.00804
town7_000101.png,STOP,"[0.78796, 0.21204]",STOP,N/A,False,N/A,N/A,,,,,,None,0.00801
town7_000103.png,GO,"[0.26218, 0.73782]",GO,N/A,False,N/A,N/A,,,,,,None,0.00771
town7_000104.png,GO,"[0.17637, 0.82363]",GO,N/A,False,N/A,N/A,,,,,,None,0.00822
town7_000109.png,GO,"[0.121, 0.879]",GO,N/A,False,N/A,N/A,,,,,,None,0.00812
town7_000116.png,GO,"[0.40404, 0.59596]",GO,"0.31375822, 0.6862418",False,"(47, 41)","(0, 0)",,,,,,train,0.01132
town7_000127.png,STOP,"[0.64355, 0.35645]",STOP,N/A,False,N/A,N/A,,,,,,None,0.00764
town7_000128.png,STOP,"[0.63885, 0.36115]",STOP,N/A,False,N/A,N/A,,,,,,None,0.00793
town7_000129.png,STOP,"[0.63635, 0.36365]",STOP,N/A,False,N/A,N/A,,,,,,None,0.0081
town7_000130.png,STOP,"[0.57273, 0.42727]",STOP,N/A,False,N/A,N/A,,,,,,None,0.00839
town7_000139.png,STOP,"[0.61705, 0.38295]",STOP,N/A,False,N/A,N/A,,,,,,None,0.00793
town7_000140.png,STOP,"[0.70444, 0.29556]",STOP,N/A,False,N/A,N/A,,,,,,None,0.00835
town7_000141.png,GO,"[0.49831, 0.50169]",GO,N/A,False,N/A,N/A,,,,,,None,0.00844
town7_000144.png,GO,"[0.44, 0.56]",GO,N/A,False,N/A,N/A,,,,,,None,0.00807
town7_000146.png,GO,"[0.32673, 0.67327]",GO,N/A,False,N/A,N/A,,,,,,None,0.0086
town7_000154.png,GO,"[0.33547, 0.66453]",GO,N/A,False,N/A,N/A,,,,,,None,0.00817
town7_000156.png,GO,"[0.27922, 0.72078]",GO,N/A,False,N/A,N/A,,,,,,None,0.00797
town7_000174.png,GO,"[0.32121, 0.67879]",GO,N/A,False,N/A,N/A,,,,,,None,0.00735
